physical_condition,series,architecture,K_C,K_D,n_binders,gradient_scale,receptor_density_contrast_percent,plotted_axis_coordinate,mean,lower_95_percent,upper_95_percent,trajectory_count,curve_role,arrival_time_limit,recording_time_limit,mean_recorded_duration,path_ci_time_limit,mean_path_ci_duration,observation_lag,mobile_fraction,effective_K_D_at_start,local_K_C_at_start,cleavage_rate_scale,path_ci_correction_coefficient
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0006615206013727,2.6805037193187164,2.6805037193187164,0.0210831442208962,,,,gradient,500000.0,500000.0,425581.2640934673,100000.0,99845.6311724227,1668.9461336998718,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0006938278506168,2.8131925023468174,2.8131925023468174,0.0225381799670432,,,,gradient,500000.0,500000.0,414851.46093201067,100000.0,99754.92848307115,1626.868474243179,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.000726136142929,2.9460527523271773,2.9460527523271773,0.0241534245528364,,,,gradient,500000.0,500000.0,403954.1980853142,100000.0,99631.06051646185,1584.134110138487,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0007584454783431,3.07908469083904,3.07908469083904,0.0259310956832465,,,,gradient,500000.0,500000.0,392970.3501841137,100000.0,99468.9848464395,1541.060196800446,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0007907558568931,3.212288539746999,3.212288539746999,0.0278661724988971,,,,gradient,500000.0,500000.0,381967.84203900985,100000.0,99264.4107010506,1497.9131060353327,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0008230672786125,3.34566452120153,3.34566452120153,0.0299480495929946,,,,gradient,500000.0,500000.0,371007.2460705557,100000.0,99013.94035906192,1454.9303767472773,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.000855379743535,3.4792128576401016,3.479212857641012,0.0321618350579603,,,,gradient,500000.0,500000.0,360139.8658329501,100000.0,98714.72823422703,1412.3131993449024,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.000887693251694,3.612933771790416,3.612933771790416,0.0344913320550815,,,,gradient,500000.0,500000.0,349393.62579641334,100000.0,98365.49920723955,1370.171081554562,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0009200078031233,3.7468274866633737,3.7468274866633737,0.0369187828485865,,,,gradient,500000.0,500000.0,338802.18754929135,100000.0,97965.72158582536,1328.636029605064,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.000952323397857,3.880894225562681,3.880894225562681,0.0394263573850794,,,,gradient,500000.0,500000.0,328390.6283646884,100000.0,97515.59463388508,1287.8063857438765,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0009846400359284,4.015134212076887,4.015134212076887,0.0419970515510864,,,,gradient,500000.0,500000.0,318178.9885489838,100000.0,97016.00946902616,1247.7607394077795,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.001016957717371,4.149547670086262,4.1495476700853295,0.0446153003613338,,,,gradient,500000.0,500000.0,308186.00731199636,100000.0,96468.33451709412,1208.5725776941033,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0010492764422192,4.284134823757602,4.284134823757602,0.047267246716661,,,,gradient,500000.0,500000.0,298416.41345239663,100000.0,95873.95103496798,1170.2604449113594,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0010815962105062,4.418895897551067,4.418895897551067,0.0499400722185844,,,,gradient,500000.0,500000.0,288884.4225937382,100000.0,95235.74277976318,1132.8800886028948,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0011139170222656,4.553831116213192,4.553831116213192,0.0526228251373282,,,,gradient,500000.0,500000.0,279596.8865619483,100000.0,94556.26648681358,1096.458378674307,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0011462388775312,4.688940704782785,4.688940704782785,0.0553061126662907,,,,gradient,500000.0,500000.0,270558.5945757856,100000.0,93838.25153365942,1061.0140963756298,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.001178561776337,4.824224888589401,4.824224888590334,0.057981977279298,,,,gradient,500000.0,500000.0,261772.6061276045,100000.0,93084.5276438976,1026.559239716096,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.001210885718716,4.959683893253852,4.959683893254785,0.0606443508565213,,,,gradient,500000.0,500000.0,253244.3168197942,100000.0,92297.59836558356,993.1149679207616,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0012432107047022,5.095317944687516,5.095317944687516,0.0632875016228418,,,,gradient,500000.0,500000.0,244965.42899955373,100000.0,91480.2271764359,960.6487411747204,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0012755367343298,5.231127269095603,5.231127269095603,0.0659065595615961,,,,gradient,500000.0,500000.0,236940.30222996,100000.0,90635.69484383638,929.1776558037648,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0013078638076318,5.367112092972803,5.367112092972803,0.0684978469287495,,,,gradient,500000.0,500000.0,229167.37184761537,100000.0,89766.74702289232,898.6955758730013,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0013401919246423,5.503272643109303,5.503272643109303,0.0710584287059429,,,,gradient,500000.0,500000.0,221644.31893420056,100000.0,88876.02917118579,869.1934075851001,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0013725210853948,5.6396091465864995,5.6396091465864995,0.0735860019579669,,,,gradient,500000.0,500000.0,214368.17820210115,100000.0,87966.07085606677,840.659522361181,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0014048512899232,5.776121830781067,5.776121830781067,0.0760799481740933,,,,gradient,500000.0,500000.0,207340.3456076113,100000.0,87038.67097203033,813.099394539652,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.001437182538261,5.912810923361667,5.912810923361667,0.0785377257338267,,,,gradient,500000.0,500000.0,200546.27582888005,100000.0,86096.52146137705,786.4559836426669,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
