physical_condition,series,architecture,K_C,K_D,n_binders,gradient_scale,mean_attachments_over_K_D,plotted_axis_coordinate,mean,lower_95_percent,upper_95_percent,trajectory_count,curve_role,arrival_time_limit,recording_time_limit,mean_recorded_duration,path_ci_time_limit,mean_path_ci_duration,observation_lag,mobile_fraction,effective_K_D_at_start,local_K_C_at_start,cleavage_rate_scale,path_ci_correction_coefficient
constrained thermal motion,mean_field_theory,polarized,10.0,202.74065334121792,10.0,1.001,0.0032151882550039,0.0032151882550039,5.815891610234373,,,,gradient,500000.0,500000.0,150416.38761585692,100000.0,80198.46441543271,589.8681867288507,0.9688545198737308,209.2580972503909,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,195.82259298403315,10.0,1.001,0.0034384564146917,0.0034384564146917,5.988348585427496,,,,gradient,500000.0,500000.0,145556.2633364822,100000.0,79369.41807395058,570.8088758293419,0.9688545198737308,202.11764404995952,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,189.1405955886518,10.0,1.001,0.0036769503370475,0.0036769503370475,6.1616792058576095,,,,gradient,500000.0,500000.0,140885.57728807148,100000.0,78535.5152303694,552.4924599532214,0.9688545198737308,195.2208424576501,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,182.68660604727475,10.0,1.001,0.0039316796794429,0.0039316796794429,6.335687958058916,,,,gradient,500000.0,500000.0,136405.09112522533,100000.0,77698.2574907419,534.9219259812758,0.9688545198737308,188.55937842049187,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,176.45284411420445,10.0,1.001,0.0042037181521394,0.0042037181521394,6.510174129209973,,,,gradient,500000.0,500000.0,132114.3081072601,100000.0,76859.1990059621,518.0953259108239,0.9688545198737308,182.12522158352655,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,170.4317950268048,10.0,1.001,0.0044942072946332,0.0044942072946332,6.684931500151122,,,,gradient,500000.0,500000.0,128011.59888666442,100000.0,76019.93303055773,502.0062701437821,0.9688545198737308,175.9106156092629,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,164.6162004464993,10.0,1.001,0.0048043604468947,0.0048043604468947,6.859748021859604,,,,gradient,500000.0,500000.0,124094.33724061036,100000.0,75182.07780206036,486.6444597670995,0.9688545198737308,169.90806882745767,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,158.99904970888872,10.0,1.001,0.0051354669229407,0.0051354669229407,7.034405490079281,,,,gradient,500000.0,500000.0,120359.04039816094,100000.0,74347.2622781988,471.9962368555331,0.9688545198737308,164.11034520395364,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,153.57357137243565,10.0,1.001,0.0054888963942197,0.0054888963942197,7.208679231922384,,,,gradient,500000.0,500000.0,116801.50926176462,100000.0,73517.11222219521,458.0451343598612,0.9688545198737308,158.51045561768206,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,148.33322505553377,10.0,1.001,0.0058661034902941,0.0058661034902941,7.382337817648947,,,,gradient,500000.0,500000.0,113416.96458325649,100000.0,72693.23706016807,444.77241013041754,0.9688545198737308,153.1016494353206,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,143.27169355211623,10.0,1.001,0.0062686326242933,0.0062686326242933,7.555142810423462,,,,gradient,500000.0,500000.0,110200.17596618924,100000.0,71877.2178564867,432.1575528085853,0.9688545198737308,147.8774063734446,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,138.3828752163014,10.0,1.001,0.0066981230505536,0.0066981230505536,7.726848566664479,,,,gradient,500000.0,500000.0,107145.58137137051,100000.0,71070.59666834137,420.1787504759628,0.9688545198737308,142.83142863836423,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,133.66087660689618,10.0,1.001,0.0071563141617819,0.0071563141617819,7.897202099690336,,,,gradient,500000.0,500000.0,104247.3955579776,100000.0,70274.867455414,408.8133159136376,0.9688545198737308,137.9576333341728,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,129.10000538288736,10.0,1.001,0.007645051032956,0.007645051032956,8.065943019395197,,,,gradient,500000.0,500000.0,101499.7065648876,100000.0,69491.46863937026,398.0380649603435,0.9688545198737308,133.25014512985166,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,124.6947634413585,10.0,1.001,0.0081662902190162,0.0081662902190162,8.232803560849566,,,,gradient,500000.0,500000.0,98896.5599101306,100000.0,68721.77733338329,387.8296467063944,0.9688545198737308,128.7032891765936,10.0,0.002,1.0
