physical_condition,series,architecture,K_C,K_D,n_binders,gradient_scale,receptor_density_contrast_percent,plotted_axis_coordinate,mean,lower_95_percent,upper_95_percent,trajectory_count,curve_role,arrival_time_limit,recording_time_limit,mean_recorded_duration,path_ci_time_limit,mean_path_ci_duration,observation_lag,mobile_fraction,effective_K_D_at_start,local_K_C_at_start,cleavage_rate_scale,path_ci_correction_coefficient
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0007907558568931,3.212288539746999,3.212288539746999,0.012434087840581,,,,gradient,500000.0,500000.0,499368.6877782103,100000.0,99999.99999999945,1958.3085795223935,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0008230672786125,3.34566452120153,3.34566452120153,0.0210916327900319,,,,gradient,500000.0,500000.0,498863.16057916253,100000.0,99999.99999999836,1956.3261199182843,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.000855379743535,3.4792128576401016,3.479212857641012,0.0335826024673377,,,,gradient,500000.0,500000.0,498083.58499704394,100000.0,99999.9999999883,1953.2689607727216,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.000887693251694,3.612933771790416,3.612933771790416,0.0506091518304406,,,,gradient,500000.0,500000.0,496951.0395642206,100000.0,99999.99999991777,1948.8276061341985,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0009200078031233,3.7468274866633737,3.7468274866633737,0.0727320867583136,,,,gradient,500000.0,500000.0,495387.22097217134,100000.0,99999.99999949826,1942.6949842045935,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.000952323397857,3.880894225562681,3.880894225562681,0.10032793238319,,,,gradient,500000.0,500000.0,493320.2484131791,100000.0,99999.99999738456,1934.5892094634476,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0009846400359284,4.015134212076887,4.015134212076887,0.1335688670858302,,,,gradient,500000.0,500000.0,490689.9141801847,100000.0,99999.999988141,1924.2741732556265,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.001016957717371,4.149547670086262,4.1495476700853295,0.1724364534621794,,,,gradient,500000.0,500000.0,487450.58359396824,100000.0,99999.9999524564,1911.5709160547776,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0010492764422192,4.284134823757602,4.284134823757602,0.2167720371832674,,,,gradient,500000.0,500000.0,483570.1129763785,100000.0,99999.99982811822,1896.3533842210925,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0010815962105062,4.418895897551067,4.418895897551067,0.2661945179150579,,,,gradient,500000.0,500000.0,479043.3701720134,100000.0,99999.9994393001,1878.6014516549549,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0011139170222656,4.553831116213192,4.553831116213192,0.3202666171775138,,,,gradient,500000.0,500000.0,473878.274373544,100000.0,99999.99833201394,1858.346174013898,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0011462388775312,4.688940704782785,4.688940704782785,0.3784928748637022,,,,gradient,500000.0,500000.0,468098.1294364199,100000.0,99999.99543319969,1835.6789389663527,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.001178561776337,4.824224888589401,4.824224888590334,0.4403547052013408,,,,gradient,500000.0,500000.0,461739.1673233482,100000.0,99999.98839933104,1810.7418326405816,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.001210885718716,4.959683893253852,4.959683893254785,0.5053641306204015,,,,gradient,500000.0,500000.0,454844.30440109706,100000.0,99999.97238951371,1783.703154514106,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0012432107047022,5.095317944687516,5.095317944687516,0.5730404159612866,,,,gradient,500000.0,500000.0,447466.4054953442,100000.0,99999.93806400604,1754.7702176288008,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0012755367343298,5.231127269095603,5.231127269095603,0.6429077839462711,,,,gradient,500000.0,500000.0,439668.4966545099,100000.0,99999.86880211713,1724.1901829588624,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0013078638076318,5.367112092972803,5.367112092972803,0.7145738605922781,,,,gradient,500000.0,500000.0,431511.562193187,100000.0,99999.73619954252,1692.2022046791649,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0013401919246423,5.503272643109303,5.503272643109303,0.7877017348079955,,,,gradient,500000.0,500000.0,423056.8432220418,100000.0,99999.49419562184,1659.046444008007,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0013725210853948,5.6396091465864995,5.6396091465864995,0.8620101539270247,,,,gradient,500000.0,500000.0,414364.2040408277,100000.0,99999.07141558218,1624.9576629052067,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0014048512899232,5.776121830781067,5.776121830781067,0.937309794066036,,,,gradient,500000.0,500000.0,405485.9064318555,100000.0,99998.3574127566,1590.1408095366885,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.001437182538261,5.912810923361667,5.912810923361667,1.013395499892673,,,,gradient,500000.0,500000.0,396479.6111981699,100000.0,99997.19794213148,1554.822004698705,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.001469514830442,6.049676652291125,6.049676652291125,1.090119610790002,,,,gradient,500000.0,500000.0,387396.6675801052,100000.0,99995.38072447124,1519.202617961197,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0015018481665,6.1867192458287645,6.1867192458287645,1.167385684367142,,,,gradient,500000.0,500000.0,378282.1230354968,100000.0,99992.62063334076,1483.459306021556,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0015341825464683,6.323938932526962,6.323938932526962,1.2451296698275618,,,,gradient,500000.0,500000.0,369176.33824128815,100000.0,99988.5477245808,1447.7503460442672,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.001566517970381,6.461335941234392,6.461335941234392,1.3233174789198914,,,,gradient,500000.0,500000.0,360114.75759732985,100000.0,99982.6930362235,1412.2147356758032,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0015988544382717,6.598910501095423,6.598910501095423,1.4019837251120493,,,,gradient,500000.0,500000.0,351124.9944708965,100000.0,99974.43276044288,1376.9607626309669,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.001631191950174,6.736662841550567,6.736662841549634,1.4810810066956903,,,,gradient,500000.0,500000.0,342238.5157542443,100000.0,99963.09765472027,1342.1118264872323,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.001663530506122,6.874593192335898,6.874593192335898,1.5606259747973623,,,,gradient,500000.0,500000.0,333478.1093146704,100000.0,99947.87016379336,1307.75729143008,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0016958701061487,7.012701783485231,7.012701783485231,1.640645521738613,,,,gradient,500000.0,500000.0,324862.8466514927,100000.0,99927.81187783505,1273.9719476529126,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0017282107502885,7.1509888453306525,7.1509888453306525,1.7211739971998576,,,,gradient,500000.0,500000.0,316408.41839511896,100000.0,99901.8670881058,1240.817327039682,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0017605524385749,7.28945460849999,7.28945460849999,1.8022749910631712,,,,gradient,500000.0,500000.0,308126.7141399765,100000.0,99868.80299774092,1208.3400554508885,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0017928951710413,7.428099303919056,7.428099303919056,1.8840128102323703,,,,gradient,500000.0,500000.0,300027.525182271,100000.0,99827.25451210076,1176.578530126553,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0018252389477216,7.566923162813066,7.566923162813066,1.966391587840856,,,,gradient,500000.0,500000.0,292119.86981892807,100000.0,99775.96059929332,1145.5681169369727,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.00185758376865,7.705926416707887,7.7059264167088415,2.049456879605666,,,,gradient,500000.0,500000.0,284409.1184463156,100000.0,99713.49853355344,1115.3298762600612,1.0,500.0,0.0,0.002,1.0
