condition,gradient_bin,mean_value,sd_value,mean_down_value,sd_down_value,mean_signed_value,sd_signed_value,mean_decision_value,sd_decision_value,mean_up_score_value,sd_up_score_value,mean_down_score_value,sd_down_score_value,mean_net_score_value,sd_net_score_value,mean_receptor_gain_rate_value,sd_receptor_gain_rate_value,mean_median_receptor_contrast_percent,sd_median_receptor_contrast_percent,n_biological_replicates,min_n_movies,min_n_tracks,mean_n_tracks,mean_n_events,mean_n_episodes,bin_lower_percent,bin_upper_percent,contrast_threshold_percent,metric,passage_distance_um
SBA_noNAI,0,0.12963517488392456,0.0457842896330015,0.07312848729664462,0.01749216614564728,0.056506687587279954,0.038480947032903244,0.2027636621805692,0.05765041910326314,0.010587591671151414,0.0026105616294644614,0.007225979263363646,0.0017665915760732374,0.0033616124077877688,0.001105059337355194,0.0013234771581080963,0.0011423212031713083,4.970896325276541,1.8761941593592242,3,4,2081,4137.333333333333,194930.0,12161.333333333334,0.0,inf,0.0,local_successful_passage_fraction,0.75
SBA_noNAI,1,0.1002254435636376,0.0420991736061545,0.05127542800500825,0.016149686772161557,0.04895001555862937,0.03271736437538821,0.15150087156864586,0.054734629537873114,0.009321579301143744,0.002655197787581738,0.006217569480336054,0.0018106296884522898,0.00310400982080769,0.0010950756379789941,0.0013492350337496433,0.0011926238971136033,4.798912006257005,1.4973003843262698,3,4,2057,4030.6666666666665,175156.66666666666,14947.333333333334,1.3932546508168322,inf,1.3932546508168322,local_successful_passage_fraction,0.75
SBA_noNAI,2,0.08395620956076895,0.037729488351408415,0.04107005571526781,0.012647615464501815,0.04288615384550115,0.03140178452357279,0.12502626527603677,0.04669990219614001,0.008519520158654795,0.0029135114658125376,0.005789735141196849,0.0014362460554593372,0.002729785017457945,0.0019071386925047621,0.0013262642377715138,0.001153696063259725,4.6898751100390825,1.0460139787404654,3,4,2023,3823.3333333333335,155095.33333333334,15478.333333333334,2.0422978259518083,inf,2.0422978259518083,local_successful_passage_fraction,0.75
SBA_noNAI,3,0.07560209251000341,0.03470593348526496,0.03398170227516136,0.012226343670160376,0.04162039023484205,0.028806479800198,0.10958379478516476,0.04333771243120472,0.008425284487011648,0.00297011604636212,0.005728108370355108,0.0018094121171898481,0.002697176116656539,0.0018653649951769623,0.001326423850027409,0.0011482652971642152,4.896033905830051,0.9212632630707734,3,4,1950,3554.0,135056.33333333334,14964.0,2.614459557604828,inf,2.614459557604828,local_successful_passage_fraction,0.75
SBA_noNAI,4,0.071328113363219,0.032929996846541125,0.029280426676100053,0.011181093651850391,0.042047686687118946,0.02745463040065054,0.10060854003931906,0.04080497965558847,0.008881227564439936,0.0031320062152162256,0.005769017343427348,0.0017089975167055244,0.003112210221012586,0.0018962226111549144,0.001317577650909222,0.0010989407797236974,5.237315234571748,0.8849406388487568,3,4,1856,3204.6666666666665,115292.0,13783.0,3.1804672870230895,inf,3.1804672870230895,local_successful_passage_fraction,0.75
SBA_noNAI,5,0.06548822149782986,0.0334960585171041,0.026914838953565143,0.011133786357851125,0.03857338254426471,0.0279769933656509,0.092403060451395,0.04134225576701631,0.008108131913624831,0.0029611540335462935,0.0060375003083571075,0.0018925979447938484,0.002070631605267725,0.0018049415432843114,0.0013277479820375927,0.0010286723404115598,5.783412235354553,1.0199559039910102,3,4,1737,2822.0,96297.33333333333,12227.333333333334,3.784808417712415,inf,3.784808417712415,local_successful_passage_fraction,0.75
SBA_noNAI,6,0.062384881710897455,0.031249331781473016,0.02324165164267225,0.008360322220871335,0.0391432300682252,0.026621189505835696,0.08562653335356969,0.03720408200917115,0.008310955467998126,0.0029999150525631554,0.0057746943357496194,0.001465662393764402,0.002536261132248507,0.001953424031960788,0.0015476654180299123,0.0009659395699802722,6.464167695079439,1.1866032728161,3,4,1586,2412.3333333333335,77102.0,10474.0,4.461288706882853,inf,4.461288706882853,local_successful_passage_fraction,0.75
SBA_noNAI,7,0.059269653107646196,0.03294328641650759,0.02074201074077404,0.007495958346169755,0.03852764236687215,0.03050896742059201,0.08001166384842023,0.036770938658462135,0.008172196997187303,0.0035082957619686516,0.005653195723908037,0.001468660555917841,0.002519001273279264,0.0031295893581772104,0.0017532809145972342,0.0012145559362033793,7.375549876704947,1.3343108709308613,3,4,1367,1937.0,58861.0,8486.333333333334,5.293953958863754,inf,5.293953958863754,local_successful_passage_fraction,0.75
SBA_noNAI,8,0.05871081780062443,0.02998924571806045,0.01948063762750409,0.007448794025371591,0.03923018017312034,0.027274555198952655,0.07819145542812853,0.03414348284871537,0.008695294688285955,0.003435455725557219,0.0052526875668834514,0.0013054516488852335,0.0034426071214025034,0.0029271171555379978,0.0021152262113572915,0.0013601587009467954,7.920613898111423,1.2893179619282873,3,4,1238,1671.6666666666667,49734.666666666664,7438.666666666667,5.834815513313703,inf,5.834815513313703,local_successful_passage_fraction,0.75
SBA_noNAI,9,0.05967277666985187,0.02477665227167658,0.01843763514115818,0.007024391539936062,0.041235141528693696,0.023677771606955483,0.07811041181101006,0.02767331350461408,0.009410132873487876,0.002095417870437785,0.00522130679485945,0.0015197281669427586,0.0041888260786284255,0.0019117734663505097,0.0025260044505128034,0.001285585213665288,8.499811081063653,1.1921762369393367,3,4,1078,1379.6666666666667,40420.333333333336,6189.0,6.5192821014307984,inf,6.5192821014307984,local_successful_passage_fraction,0.75
SBA_noNAI,10,0.05858474540517412,0.02216073431032473,0.016031463324187936,0.007177254495003214,0.04255328208098619,0.02256656993420827,0.07461620872936206,0.023999420324711637,0.008447124386398231,0.0010050950069075155,0.004258467487683877,0.0011984598549046122,0.004188656898714355,0.0005789882682902534,0.0033862721091755445,0.0011115584472842508,9.533202772419514,1.178055770621411,3,4,869,1059.3333333333333,31015.666666666668,4795.333333333333,7.497221835432341,inf,7.497221835432341,local_successful_passage_fraction,0.75
SBA_noNAI,11,0.05939366609261796,0.026043870085184637,0.015791309439583675,0.007184800904895194,0.04360235665303428,0.024832188447101496,0.07518497553220164,0.029037415226592655,0.008536506594427272,0.0013939173179622476,0.004396936110313383,0.0014114342020156818,0.004139570484113891,0.0008710965788902837,0.003918190704151426,0.0015605867252068055,10.428760828702243,1.3268000250725944,3,4,763,904.6666666666666,26512.666666666668,4196.666666666667,8.200725731839787,inf,8.200725731839787,local_successful_passage_fraction,0.75
SBA_noNAI,12,0.06207752443210085,0.023174997258999477,0.01007513410280862,0.005894089519248875,0.052002390329292235,0.02532258888646036,0.07215265853490947,0.022414461191793553,0.009788169828244967,0.001145094791036168,0.0027958898571746687,0.0011062505656092053,0.0069922799710702985,0.0005497206212087043,0.005062440936938798,0.0014395322005995798,11.711265170017073,1.2310840746014926,3,4,590,733.6666666666666,21996.0,3565.6666666666665,9.1966917756456,inf,9.1966917756456,local_successful_passage_fraction,0.75
SBA_noNAI,13,0.063959029725074,0.022974957638990545,0.010007598884037539,0.007381541226055545,0.053951430841036464,0.026287716944085236,0.07396662860911153,0.021762986850117537,0.00982786428479242,0.0011867390245510292,0.0030789528051909255,0.0024360362161857463,0.006748911479601494,0.003533517108839025,0.006981072800405476,0.0020031616057200837,13.576440540449745,1.5376724872539804,3,4,414,573.3333333333334,17583.666666666668,2817.6666666666665,10.773492239411073,inf,10.773492239411073,local_successful_passage_fraction,0.75
SBA_noNAI,14,0.06536370493364843,0.02107136683562951,0.006670713282262833,0.001754518190714382,0.05869299165138559,0.02186939525255263,0.07203441821591126,0.0203934111931785,0.01013490958235973,0.0010187278848142647,0.002749518288904763,0.0007245122504486489,0.007385391293454968,0.0014850100685397207,0.011255451345299606,0.0016083273694388533,17.457241817738794,2.0761276441479963,3,4,219,405.3333333333333,12827.0,2186.6666666666665,13.858520620912364,inf,13.858520620912364,local_successful_passage_fraction,0.75
