condition,plot_condition,log10_d_eff_um2_s,mean_density,sd_density,n_biological_replicates,min_n_tracks,mean_n_tracks
noSBA_NAI,+ NAI,-4.544419134396355,0.14701273105672963,0.03104707735494775,3,81,202.0
noSBA_NAI,+ NAI,-4.5353075170842825,0.15045580986662485,0.030752421975245976,3,81,202.0
noSBA_NAI,+ NAI,-4.52619589977221,0.15392891230253236,0.030425452095362373,3,81,202.0
noSBA_NAI,+ NAI,-4.517084282460137,0.157431072605901,0.030067171376728253,3,81,202.0
noSBA_NAI,+ NAI,-4.507972665148063,0.16096130470630843,0.029678843613372904,3,81,202.0
noSBA_NAI,+ NAI,-4.498861047835991,0.16451860102507837,0.02926201673432991,3,81,202.0
noSBA_NAI,+ NAI,-4.4897494305239185,0.16810193110181515,0.028818549077622994,3,81,202.0
noSBA_NAI,+ NAI,-4.480637813211845,0.1717102400534515,0.028350638075430118,3,81,202.0
noSBA_NAI,+ NAI,-4.471526195899772,0.1753424468777114,0.02786085139824764,3,81,202.0
noSBA_NAI,+ NAI,-4.462414578587699,0.17899744261519612,0.02735216044879081,3,81,202.0
noSBA_NAI,+ NAI,-4.453302961275626,0.18267408838660168,0.026827975845895198,3,81,202.0
noSBA_NAI,+ NAI,-4.444191343963554,0.18637121332385478,0.02629218415907966,3,81,202.0
noSBA_NAI,+ NAI,-4.43507972665148,0.19008761241619587,0.02574918460273776,3,81,202.0
noSBA_NAI,+ NAI,-4.425968109339408,0.19382204429438735,0.025203923628691564,3,81,202.0
noSBA_NAI,+ NAI,-4.4168564920273345,0.19757322897831664,0.02466192432574589,3,81,202.0
noSBA_NAI,+ NAI,-4.407744874715262,0.20133984561519144,0.02412930622645167,3,81,202.0
noSBA_NAI,+ NAI,-4.398633257403189,0.2051205302373674,0.02361278956839275,3,81,202.0
noSBA_NAI,+ NAI,-4.389521640091116,0.20891387357045954,0.02311967639076149,3,81,202.0
noSBA_NAI,+ NAI,-4.380410022779043,0.21271841892386786,0.022657799350345446,3,81,202.0
noSBA_NAI,+ NAI,-4.371298405466971,0.21653266019704862,0.022235428303253823,3,81,202.0
noSBA_NAI,+ NAI,-4.362186788154897,0.22035504003586484,0.02186112522885515,3,81,202.0
noSBA_NAI,+ NAI,-4.353075170842825,0.22418394817404128,0.02154354081944334,3,81,202.0
noSBA_NAI,+ NAI,-4.3439635535307515,0.22801771999517953,0.02129115177194706,3,81,202.0
noSBA_NAI,+ NAI,-4.334851936218679,0.23185463535086503,0.021111946718778123,3,81,202.0
noSBA_NAI,+ NAI,-4.325740318906606,0.2356929176701744,0.021013079995714886,3,81,202.0
noSBA_NAI,+ NAI,-4.316628701594533,0.23953073339526335,0.021000523833516704,3,81,202.0
noSBA_NAI,+ NAI,-4.30751708428246,0.2433661917767718,0.021078757648888512,3,81,202.0
noSBA_NAI,+ NAI,-4.2984054669703875,0.2471973450613859,0.021250534314679263,3,81,202.0
noSBA_NAI,+ NAI,-4.289293849658314,0.25102218910217133,0.02151675552245041,3,81,202.0
noSBA_NAI,+ NAI,-4.280182232346242,0.2548386644201103,0.02187647246427705,3,81,202.0
noSBA_NAI,+ NAI,-4.271070615034168,0.25864465774272966,0.02232700803475973,3,81,202.0
noSBA_NAI,+ NAI,-4.261958997722096,0.2624380040427381,0.022864178231841014,3,81,202.0
noSBA_NAI,+ NAI,-4.252847380410023,0.26621648909625234,0.02348257831954311,3,81,202.0
noSBA_NAI,+ NAI,-4.24373576309795,0.2699778525764501,0.024175895838750044,3,81,202.0
noSBA_NAI,+ NAI,-4.234624145785877,0.2737197916944181,0.024937216844069535,3,81,202.0
noSBA_NAI,+ NAI,-4.225512528473804,0.27743996539452126,0.025759300863727214,3,81,202.0
noSBA_NAI,+ NAI,-4.216400911161731,0.28113599910690695,0.02663481061670367,3,81,202.0
noSBA_NAI,+ NAI,-4.207289293849659,0.2848054900547335,0.027556491854299193,3,81,202.0
noSBA_NAI,+ NAI,-4.198177676537585,0.28844601310848755,0.028517305474354257,3,81,202.0
noSBA_NAI,+ NAI,-4.189066059225513,0.2920551271743073,0.02951051806153285,3,81,202.0
noSBA_NAI,+ NAI,-4.17995444191344,0.2956303820976598,0.03052975869646024,3,81,202.0
noSBA_NAI,+ NAI,-4.170842824601367,0.2991693260580397,0.03156904996316128,3,81,202.0
noSBA_NAI,+ NAI,-4.161731207289294,0.30266951342466264,0.03262282024896203,3,81,202.0
noSBA_NAI,+ NAI,-4.152619589977221,0.30612851303742034,0.03368590319347875,3,81,202.0
noSBA_NAI,+ NAI,-4.143507972665148,0.309543916871785,0.03475352883987835,3,81,202.0
noSBA_NAI,+ NAI,-4.134396355353076,0.3129133490408738,0.03582130985659109,3,81,202.0
noSBA_NAI,+ NAI,-4.125284738041002,0.31623447508265823,0.03688522520963989,3,81,202.0
noSBA_NAI,+ NAI,-4.116173120728929,0.3195050114753168,0.03794160288931101,3,81,202.0
noSBA_NAI,+ NAI,-4.1070615034168565,0.32272273531912365,0.03898710271155266,3,81,202.0
noSBA_NAI,+ NAI,-4.097949886104784,0.32588549411902973,0.04001869979222334,3,81,202.0
noSBA_NAI,+ NAI,-4.088838268792711,0.32899121559834243,0.04103366899696659,3,81,202.0
noSBA_NAI,+ NAI,-4.079726651480637,0.3320379174706818,0.04202957047005941,3,81,202.0
noSBA_NAI,+ NAI,-4.070615034168565,0.33502371709474804,0.043004236216334,3,81,202.0
noSBA_NAI,+ NAI,-4.0615034168564925,0.3379468409344046,0.04395575763112244,3,81,202.0
noSBA_NAI,+ NAI,-4.052391799544419,0.34080563374525347,0.04488247382885552,3,81,202.0
noSBA_NAI,+ NAI,-4.043280182232346,0.3435985674082444,0.045782960600397514,3,81,202.0
noSBA_NAI,+ NAI,-4.034168564920273,0.346324249330992,0.04665601982442493,3,81,202.0
noSBA_NAI,+ NAI,-4.025056947608201,0.34898143033836,0.047500669163611946,3,81,202.0
noSBA_NAI,+ NAI,-4.015945330296128,0.3515690119755647,0.04831613188826728,3,81,202.0
noSBA_NAI,+ NAI,-4.006833712984054,0.35408605314953645,0.04910182668578934,3,81,202.0
noSBA_NAI,+ NAI,-3.997722095671982,0.3565317760375534,0.049857357332202014,3,81,202.0
noSBA_NAI,+ NAI,-3.988610478359909,0.35890557119624816,0.0505825021210361,3,81,202.0
noSBA_NAI,+ NAI,-3.979498861047836,0.36120700180891624,0.05127720296425434,3,81,202.0
noSBA_NAI,+ NAI,-3.9703872437357632,0.3634358070146592,0.051941554099380394,3,81,202.0
noSBA_NAI,+ NAI,-3.9612756264236904,0.3655919042691827,0.05257579035629037,3,81,202.0
noSBA_NAI,+ NAI,-3.9521640091116175,0.3676753906940186,0.0531802749560867,3,81,202.0
noSBA_NAI,+ NAI,-3.9430523917995446,0.3696865433785172,0.05375548683305942,3,81,202.0
noSBA_NAI,+ NAI,-3.9339407744874713,0.37162581860704386,0.0543020074888638,3,81,202.0
noSBA_NAI,+ NAI,-3.924829157175399,0.373493849992399,0.054820507405631616,3,81,202.0
noSBA_NAI,+ NAI,-3.9157175398633255,0.37529144550545607,0.05531173206171832,3,81,202.0
noSBA_NAI,+ NAI,-3.906605922551253,0.37701958340027714,0.05577648761000102,3,81,202.0
noSBA_NAI,+ NAI,-3.8974943052391797,0.37867940704349573,0.0562156262939506,3,81,202.0
noSBA_NAI,+ NAI,-3.8883826879271073,0.38027221866636074,0.056630031690891244,3,81,202.0
noSBA_NAI,+ NAI,-3.879271070615034,0.3817994720675188,0.0570206038846964,3,81,202.0
noSBA_NAI,+ NAI,-3.8701594533029615,0.3832627643041893,0.05738824468139736,3,81,202.0
noSBA_NAI,+ NAI,-3.861047835990888,0.384663826418824,0.057733842990524885,3,81,202.0
noSBA_NAI,+ NAI,-3.8519362186788157,0.3860045132574775,0.05805826050220026,3,81,202.0
noSBA_NAI,+ NAI,-3.8428246013667424,0.3872867924449135,0.05836231779477339,3,81,202.0
noSBA_NAI,+ NAI,-3.83371298405467,0.38851273258977154,0.05864678100996281,3,81,202.0
noSBA_NAI,+ NAI,-3.8246013667425967,0.3896844908008819,0.05891234923180222,3,81,202.0
noSBA_NAI,+ NAI,-3.815489749430524,0.3908042996029029,0.05915964270214034,3,81,202.0
noSBA_NAI,+ NAI,-3.806378132118451,0.39187445334584026,0.05938919199897141,3,81,202.0
noSBA_NAI,+ NAI,-3.7972665148063784,0.39289729420854275,0.05960142829451044,3,81,202.0
noSBA_NAI,+ NAI,-3.788154897494305,0.393875197900969,0.05979667479790919,3,81,202.0
noSBA_NAI,+ NAI,-3.7790432801822327,0.394810559173735,0.05997513947303177,3,81,202.0
noSBA_NAI,+ NAI,-3.7699316628701594,0.3957057772462244,0.060136909105176335,3,81,202.0
noSBA_NAI,+ NAI,-3.760820045558087,0.39656324126624315,0.060281944772463916,3,81,202.0
