crosslinking,contrast_threshold_percent,mean_field_area_percent,sd_field_area_percent,n_biological_replicates,biological_replicate_values
SBA,7.0,17.727764836099382,9.548285931049218,3,17.900328;8.0943669;27.1886
SBA,7.25,16.51781350041587,9.105419244699132,3,16.852493;7.2496688;25.451279
SBA,7.5,15.403075608471182,8.6573415459198,3,15.906084;6.5051966;23.797946
SBA,7.75,14.395358239168871,8.224481842276875,3,15.061903;5.8578865;22.266286
SBA,8.0,13.475891162102323,7.801544975749255,3,14.315546;5.2884812;20.823646
SBA,8.25,12.641604548303219,7.3927351870242815,3,13.626278;4.8058799;19.492656
SBA,8.5,11.876704856742116,7.018880441988555,3,13.002914;4.3628146;18.264386
SBA,8.75,11.186950239916223,6.658768533256614,3,12.441706;3.9900679;17.129077
SBA,9.0,10.543791823117802,6.314787017271241,3,11.917858;3.6551064;16.058411
SBA,9.25,9.960130098721766,5.991914558648079,3,11.44508;3.3653706;15.069939
SBA,9.5,9.412775198189832,5.690758093638734,3,11.013297;3.0931415;14.131887
SBA,9.75,8.910731546671913,5.411211648558791,3,10.619557;2.8514032;13.261235
SBA,10.0,8.448448195526195,5.157526250864742,3,10.248489;2.6321318;12.464724
SBA,10.25,8.02299866506324,4.914735125400352,3,9.9101928;2.4443725;11.714431
SBA,10.5,7.635003942807994,4.694778082053948,3,9.582095;2.2799554;11.042961
SBA,10.75,7.265430742182629,4.482600631265995,3,9.2803028;2.1289602;10.387029
SBA,11.0,6.919596435174552,4.290860573920319,3,8.9985348;1.9852594;9.7749952
SBA,11.25,6.609238425626365,4.115358873007767,3,8.7408996;1.8653385;9.2214772
SBA,11.5,6.319356100406246,3.9603896213764824,3,8.4954101;1.7480436;8.7146146
SBA,11.75,6.0375823005068225,3.808532671514916,3,8.2582275;1.6399398;8.2145796
SBA,12.0,5.775984680694379,3.6731401575766074,3,8.0347285;1.5376715;7.755554
SBA,12.25,5.538145514360792,3.5464229459558276,3,7.822705;1.4526181;7.3391135
SBA,12.5,5.312860994623416,3.42974254990936,3,7.6224354;1.3719414;6.9442062
SBA,12.75,5.100852421984614,3.324081595115674,3,7.4256235;1.2934531;6.5834807
SBA,13.0,4.895407459132508,3.2209823457155533,3,7.2376629;1.2222592;6.2263003
SBA,13.25,4.706151159871847,3.128099656580937,3,7.0608039;1.156755;5.9008946
SBA,13.5,4.5306526015177955,3.0437676974026493,3,6.8923494;1.0956274;5.603981
SBA,13.75,4.360634192495389,2.9559163301800204,3,6.7232516;1.0460251;5.3126258
SBA,14.0,4.2030720686367395,2.876045369284861,3,6.5561009;0.99700635;5.056109
SBA,14.25,4.052046868166446,2.803159643516025,3,6.401106;0.94900883;4.8060258
SBA,14.5,3.9069025330003058,2.7323667314473963,3,6.2515865;0.90626331;4.5628578
SBA,14.75,3.7719997707919326,2.6640288846225224,3,6.1025052;0.86789447;4.3455997
SBA,15.0,3.6374928377654445,2.599998879334978,3,5.9607386;0.82908796;4.1226519
SBA,15.25,3.5120572864470625,2.538770737123248,3,5.8191238;0.79217801;3.92487
SBA,15.5,3.39220483336185,2.477459295164431,3,5.6809387;0.76154129;3.7341346
SBA,15.75,3.276034883277926,2.4223769692418893,3,5.5515689;0.72959157;3.5469442
SBA,16.0,3.167195658625209,2.3690730970033544,3,5.424861;0.70055963;3.3761664
SBA,16.25,3.0660625783982103,2.3214534062714143,3,5.3076746;0.67225714;3.218256
SBA,16.5,2.969069000578582,2.2718587900859406,3,5.1848165;0.64497587;3.0774146
SBA,16.75,2.8752092484310032,2.2282578786111737,3,5.0720602;0.61681927;2.9367483
SBA,17.0,2.7868145056972238,2.1831887588491723,3,4.9607598;0.59449823;2.8051855
SBA,17.25,2.698774771770582,2.1393450995332137,3,4.8514873;0.57305253;2.6717845
SBA,17.5,2.6135282999165246,2.098606090218502,3,4.7448758;0.5492726;2.5464365
