explore_to_exploit_demand_ratio,reader_cleaver_coordinate,explore_density,escape_density,exploit_density,total_density,explore_fraction,escape_fraction,exploit_fraction,explore_escape_center,exploit_center,display_width
0.05,-2.162714336889323,0.0001700792669446,0.0007646261837077,6.8206437133386e-08,0.0009347736570895,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1586404968523443,0.0001760919980635,0.0007916576481046,7.236948397402936e-08,0.0009678220156521,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1545666568153656,0.0001822975539994,0.0008195559959651,7.677831239706806e-08,0.001001930328277,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.150492816778387,0.0001887013624892,0.0008483456287916,8.144691187339478e-08,0.0010371284381928,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.146418976741409,0.0001953089767128,0.000878051512042,8.639003637878832e-08,0.0010734468787912,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.14234513670443,0.0002021260772526,0.0009086991839387,9.162324429671699e-08,0.0011109168844357,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1382712966674515,0.0002091584740519,0.0009403147642709,9.716294029652241e-08,0.0011495704012631,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1341974566304733,0.0002164121083694,0.0009729249631849,1.030264192788293e-07,0.0011894400979736,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1301236165934947,0.0002238930547308,0.0010065570899548,1.0923191248400873e-07,0.0012305593765981,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.126049776556516,0.0002316075228737,0.0010412390617287,1.1579863586360069e-07,0.0012729623832384,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1219759365195374,0.0002395618596864,0.0010769994122422,1.2274684081891946e-07,0.0013166840187695,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1179020964825592,0.000247762551137,0.0011138673004937,1.300978674154412e-07,0.0013617599494982,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1138282564455806,0.0002562162241931,0.0011518725193737,1.3787420018622818e-07,0.001408226617767,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.109754416408602,0.0002649296487293,0.0011910455042404,1.4609952664237977e-07,0.0014561212524964,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1056805763716233,0.0002739097394216,0.001231417341436,1.5479879861350836e-07,0.0015054818796563,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.101606736334645,0.0002831635576261,0.0012730197767328,1.6399829654633876e-07,0.0015563473326555,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0975328962976665,0.0002926983132409,0.0013158852237051,1.7372569689492314e-07,0.0016087572626429,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.093459056260688,0.0003025213665494,0.0013600467720149,1.8401014274143674e-07,0.0016627521487071,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.089385216223709,0.0003126402300432,0.0014055381956064,1.9488231779235485e-07,0.0017183733079675,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.085311376186731,0.0003230625702217,0.0014523939607985,2.063745239006918e-07,0.0017756629055442,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0812375361497524,0.0003337962093681,0.0015006492342675,2.185207622712168e-07,0.0018346639643979,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0771636961127737,0.0003448491272985,0.001550339890911,2.31356818511926e-07,0.0018954203750281,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0730898560757955,0.0003562294630825,0.0016015025215841,2.449203517017322e-07,0.0019579769050184,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.069016016038817,0.0003679455167336,0.0016541744406974,2.592509876511757e-07,0.0020223792084188,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0649421760018383,0.0003800057508665,0.0017083936936688,2.743904165400916e-07,0.0020886738349519,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0608683359648596,0.0003924187923197,0.001764199064218,2.9038249512357065e-07,0.0021569082390329,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
