architecture,phi_b,chi_C,exploration_range_score,gradient_guidance_score,escape_score,exploit_score,passive_score
polarized,0.012065463355328,0.0010918905346848,0.0009887308583043,0.6923433457026609,0.0413101194320065,0.0383248162464992,0.7690878867884497
polarized,0.0128495572836338,0.0010918905346848,0.0009967743793134,0.708882022628131,0.0391243372507335,0.0461380792361134,0.756818713671765
polarized,0.0136846068420965,0.0010918905346848,0.0010012745849562,0.7249983549871757,0.0368900035954578,0.0554511625732841,0.7439920690986319
polarized,0.0145739234659294,0.0010918905346848,0.0010023637190084,0.7401218840704614,0.0346222032366055,0.0665137921738865,0.730590739636637
polarized,0.0155210337893951,0.0010918905346848,0.0010001139210092,0.753674643982617,0.0323375911131657,0.079602533993965,0.7165208591639242
polarized,0.0165296936308689,0.0010918905346848,0.0009945547213875,0.7650714688238861,0.0300539510448089,0.0950183246089089,0.7018354238516539
polarized,0.0176039028867443,0.0010918905346848,0.0009858978262934,0.7753999612685833,0.0277892559454748,0.1130817455232486,0.6865283550017415
polarized,0.0187479213932434,0.0010918905346848,0.0009743964677464,0.7854937952678384,0.0255616693560765,0.1341257554206064,0.6705663990675332
polarized,0.0199662858190327,0.0010918905346848,0.0009603430394668,0.7943765977642382,0.0233887424786306,0.1584820884554874,0.6539714627074328
polarized,0.0212638276556343,0.0010918905346848,0.0009442834250771,0.8010653394929647,0.0212868620009589,0.1864092311952437,0.6367246483256169
polarized,0.0226456923769722,0.0010918905346848,0.0009264050397606,0.8045710913533544,0.0192707296356864,0.2182731186273835,0.6188597904774938
polarized,0.0241173598440342,0.0010918905346848,0.000906992308703,0.8053338540583822,0.0173529575634535,0.2545011339222845,0.6003584443510196
polarized,0.0256846660355632,0.0010918905346848,0.0008863752948046,0.8046479967298109,0.015543758620872,0.2954983471950905,0.5812613046607177
polarized,0.0273538261909545,0.0010918905346848,0.0008649009101848,0.8028081691886286,0.0138507797259751,0.3415662619596928,0.5615883851166039
polarized,0.0291314594571305,0.0010918905346848,0.0008430206776033,0.8001142955714086,0.0122790571319419,0.392758959903302,0.5413744020562797
polarized,0.0310246151371348,0.0010918905346848,0.000820901114051,0.7968716131839666,0.0108310934902571,0.4486339755641222,0.5215273837063504
polarized,0.0330408006445325,0.0010918905346848,0.000799307023695,0.7915529806991927,0.0095070348300714,0.5078109438431194,0.5010796438782561
polarized,0.0351880112744749,0.0010918905346848,0.0007800905188942,0.7831558653097226,0.0083049356850345,0.5671997967902043,0.4800245515199067
polarized,0.0374747619094836,0.0010918905346848,0.0007617682238007,0.7727824727481362,0.0072210645039139,0.6221512058813881,0.4584178744845582
polarized,0.0399101207856892,0.0010918905346848,0.0007440937525226,0.7615415405230457,0.0062502329583875,0.668079613104013,0.4363246160812606
polarized,0.0425037454534223,0.0010918905346848,0.0007244324087058,0.7505461808877016,0.0053861332189557,0.6999167390936917,0.4138189131487357
polarized,0.0452659210747644,0.0010918905346848,0.0007061077735544,0.7394416333726087,0.0046216640947285,0.7108719422609735,0.3909837222151687
polarized,0.0482076012099262,0.0010918905346848,0.0006883428546265,0.7274578414624419,0.003949270000846,0.7412034915174134,0.3679105115751961
polarized,0.0513404512541972,0.0010918905346848,0.0006713743396654,0.7150884417347646,0.0033610287631492,0.769458679354666,0.3446986810333041
polarized,0.0546768946977156,0.0010918905346848,0.000655753535368,0.7028273757875912,0.0028491017432249,0.7971730092194276,0.3214549830873276
polarized,0.0582301623915055,0.0010918905346848,0.0006456163098321,0.691169141862083,0.0024065526716671,0.8224231715876098,0.2982924739211314
polarized,0.062014345015149,0.0010918905346848,0.0006366672553004,0.679900649874747,0.0020252649909262,0.8451005459817356,0.2753296084323896
polarized,0.0660444489541549,0.0010918905346848,0.0006288017206944,0.668683443206146,0.001698054307629,0.8651710268796886,0.2526888498158646
polarized,0.0703364558086107,0.0010918905346848,0.0006184294275616,0.6578229942375555,0.0015297766889866,0.8826778046789208,0.2304950541060177
polarized,0.0749073857691021,0.0010918905346848,0.0006062939353961,0.6476243846320032,0.0013331447714604,0.8977384292374959,0.2088737124564053
polarized,0.0797753651112196,0.0010918905346848,0.0005989565840769,0.6383918833276322,0.0011257153464581,0.9105367463511004,0.1879488720502441
polarized,0.0849596980763072,0.0010918905346848,0.0005943992387533,0.6297566821620604,0.0009683308598397,0.921308782455428,0.1678407711978634
polarized,0.0904809434234996,0.0010918905346848,0.0005897566276013,0.6213984100849138,0.0008384968026059,0.933598000662536,0.1486634454795563
polarized,0.0963609959566181,0.0010918905346848,0.0005814001622911,0.6136934726470907,0.0007058866523208,0.9450899186948848,0.1305219859087658
polarized,0.1026231733492267,0.0010918905346848,0.0005719715696902,0.6070177059947572,0.0005808749746339,0.954875256751734,0.1135099289472065
polarized,0.1092923086121561,0.0010918905346848,0.0005655002706592,0.601746836000864,0.000480816715197,0.9630970495520048,0.097706588336305
polarized,0.1163948485701819,0.0010918905346848,0.0005572644657005,0.5972464057782035,0.0003866015248637,0.9699290039642842,0.08317455465221
polarized,0.1239589587383711,0.0010918905346848,0.0005423554964762,0.5929370517637658,0.0003112897563052,0.9756233618398168,0.0699575382346119
polarized,0.1320146350139898,0.0010918905346848,0.0005296910451507,0.5892753907414173,0.000242170141809,0.9805068269442676,0.0580785803042813
