date,condition,movie,global_track_uid,successful_passage_fraction,escape_passage_fraction,signed_passage_fraction,decision_fraction,productive_share,up_passage_count,down_passage_count,decision_count,first_passage_risk_time_s,up_first_passage_rate_s,down_first_passage_rate_s,decision_first_passage_rate_s,excess_first_passage_rate_s,first_passage_log_rate_ratio,up_first_passage_score_s,down_first_passage_score_s,net_first_passage_score_s,signed_first_passage_rate_s,episode_drift_speed_um_s,episode_receptor_gain_rate_s,selected_time_s,n_episodes,n_events,median_receptor_contrast_percent,value
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2335,0.0,0.0,0.0,0.0,,0,0,0,35.954699218749994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0203801135072203,-0.0038855724714594,35.954699218749994,3,18,9.382587065025524,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::234,0.0,0.0,0.0,0.0,,0,0,0,2.0011840820312496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2488936237676929,-0.0481051838941788,2.0011840820312496,1,1,9.663803991033188,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::235,0.0,0.0,0.0,0.0,,0,0,0,67.85021215820315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151324143581233,0.007288768576076,67.85021215820315,4,34,24.220217016453446,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2408,0.0,0.0,0.0,0.0,,0,0,0,4.063231933593755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0261382326816748,-0.005293670002636,4.063231933593755,1,2,10.176016478929956,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::249,0.0,0.0,0.0,0.0,,0,0,0,1.9984790039062472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060562015459211,0.0117170401488612,1.9984790039062472,1,1,9.67358835403416,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::250,0.0,0.0,0.0,0.0,,0,0,0,70.00310791015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0260798279106841,0.00679340483373,70.00310791015625,8,35,11.495973150317386,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::252,0.0,0.0,0.0,0.0,,0,0,0,38.13698291015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0230946579594843,-0.0048753742013362,38.13698291015625,12,19,10.46697906840012,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::261,0.0,0.0,0.0,0.0,,0,0,0,84.03778051757813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202656073078164,0.0044924718817754,84.03778051757813,4,42,11.695775230832552,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2634,0.0,0.5,-0.5,0.5,0.0,0,1,1,4.006339843749998,0.0,0.249604386797098,0.249604386797098,-0.249604386797098,-1.0986122886681098,0.0,0.2512921668992268,-0.2512921668992268,-0.2512921668992268,-0.3849102958903004,-0.0987702607561728,4.006339843749998,2,2,12.851311691694406,-0.2512921668992268
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2639,0.0,0.0,0.0,0.0,,0,0,0,11.926061523437522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0735147660842722,0.0156388048507024,11.926061523437522,5,6,10.547766492303982,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2703,0.0,0.0,0.0,0.0,,0,0,0,48.08248583984374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131548539715207,0.003365147008334,48.08248583984374,4,24,18.752686059997732,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2830,0.1428571428571428,0.0,0.1428571428571428,0.1428571428571428,1.0,1,0,1,36.21643017578127,0.0276117771725806,0.0,0.0276117771725806,0.0276117771725806,1.0986122886681098,0.0233916970451769,0.0,0.0233916970451769,0.0233916970451769,0.0214825197127325,0.0097802680539777,42.135528076171894,7,21,11.920103073276406,0.0233916970451769
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2842,0.0,0.0,0.0,0.0,,0,0,0,40.16259423828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0925408692840413,0.0254197629577248,40.16259423828125,2,20,14.033681030918183,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2856,0.4,0.0,0.4,0.4,1.0,2,0,2,40.09106372070313,0.0498864289042845,0.0,0.0498864289042845,0.0498864289042845,1.6094379124341005,0.0664816594188951,0.0,0.0664816594188951,0.0664816594188951,0.0669515168353366,0.0296024183040024,72.03203979492187,5,36,19.431231672179088,0.0664816594188951
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2857,0.0,0.0,0.0,0.0,,0,0,0,36.15824877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122746244076036,0.0045162394974795,36.15824877929688,6,18,14.41591897883543,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2931,0.0,0.0,0.0,0.0,,0,0,0,12.099646972656268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0453394482827098,0.0098168996455431,12.099646972656268,3,6,11.826115622620154,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2985,0.0,0.0,0.0,0.0,,0,0,0,40.17685815429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0308143791756189,-0.0076503678450731,40.17685815429688,6,20,12.630652781466496,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::3003,0.0,0.0,0.0,0.0,,0,0,0,93.9920478515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019216014797021,0.0010194650980911,93.9920478515625,1,47,25.779770662969604,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::3033,0.0,0.0,0.0,0.0,,0,0,0,6.131208984374993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0460852367347301,-0.0185079720167876,6.131208984374993,1,3,21.15988219614023,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::306,0.2,0.0,0.2,0.2,1.0,1,0,1,49.92520678710937,0.0200299621043973,0.0,0.0200299621043973,0.0200299621043973,1.0986122886681098,0.0125087341258789,0.0,0.0125087341258789,0.0125087341258789,0.0071923870861666,0.0044187614511487,49.92520678710937,5,25,23.058533402530102,0.0125087341258789
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::307,0.0,0.0,0.0,0.0,,0,0,0,2.068256835937504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1782396979024635,0.0328398467721955,2.068256835937504,1,1,9.212270655375043,0.0
