date,condition,movie,conditioned_successful_passage_fraction,conditioned_escape_passage_fraction,conditioned_signed_passage_fraction,conditioned_decision_fraction,conditioned_productive_share,conditioned_up_passage_count,conditioned_down_passage_count,conditioned_decision_count,conditioned_first_passage_risk_time_s,conditioned_up_first_passage_score_s,conditioned_down_first_passage_score_s,conditioned_net_first_passage_score_s,conditioned_signed_first_passage_rate_s,conditioned_episode_drift_speed_um_s,conditioned_episode_receptor_gain_rate_s,conditioned_selected_time_s,conditioned_n_tracks,conditioned_n_episodes,conditioned_n_events,conditioned_median_receptor_contrast_percent,conditioned_up_first_passage_rate_s,conditioned_down_first_passage_rate_s,conditioned_decision_first_passage_rate_s,conditioned_excess_first_passage_rate_s,conditioned_first_passage_directional_index,conditioned_first_passage_log_rate_ratio,tracking_qc_status,tracking_qc_flags,raw_detections_per_frame_median,spot_snr_median,accepted_tracks,median_track_length,track_weighted_exact_pair_fraction,exact_step_near_search_fraction,exact_step_q95_um,quality_threshold,search_range_pixels,conditioned_qc_filter,conditioned_excluded_by_filter,conditioned_min_movie_tracks,conditioned_excluded_by_min_movie_tracks,conditioned_included_in_date_average,conditioned_top_fraction,conditioned_high_gradient_cutoff_percent,conditioned_passage_distance_um,conditioned_window_label
2025-11-17,SBA_noNAI,100XIAV009,0.11162788393909676,0.007246376811594202,0.10438150712750253,0.11887426075069095,0.9285714285714286,23,1,24,2103.885207519531,0.010535964569178885,0.0012083324056225587,0.009327632163556325,0.009327632163556325,0.029312814496892804,0.01185092420154363,2857.9652170410154,46,340,1429,11.81402935848324,0.010932155384616669,0.00047531110367898566,0.011407466488295655,0.010456844280937684,0.9166666666666666,2.751535313041949,warning,moderate_exact_frame_continuity;elevated_exact_step_median;low_detection_survival;low_spot_snr_margin_with_weak_linking,350.0,2.612347831694414,164,39.0,0.8166355359466114,0.0119423163587201,0.4754923228400263,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_noNAI,100XIAV010,0.10994397759103641,0.0,0.10994397759103641,0.10994397759103641,1.0,5,0,5,547.6943735351563,0.024694944995220878,0.0,0.024694944995220878,0.024694944995220878,0.04841951181535054,0.014728202587155133,639.7330844726563,17,81,320,11.562667872513735,0.009129179048758389,0.0,0.009129179048758389,0.009129179048758389,1.0,2.3978952727983707,warning,elevated_exact_step_median;low_detection_survival,372.5,2.9038488236400104,119,39.0,0.8639722235522499,0.0090932709794751,0.3983128082342944,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_noNAI,100XIAV011,0.09151193633952254,0.011494252873563218,0.08001768346595932,0.10300618921308577,0.8333333333333334,6,1,7,1219.0684396972658,0.0048669238581934005,0.000957903673311383,0.003909020184882018,0.003909020184882018,0.014575345716864046,0.008813442239956842,1437.0418515625001,29,135,719,11.498072383309779,0.0049217909385710894,0.0008202984897618483,0.005742089428332938,0.0041014924488092415,0.7142857142857143,1.466337068793427,warning,elevated_exact_step_median,339.5,3.1489685644936394,175,53.0,0.8616377992665047,0.0128691411541587,0.4492771558793704,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_noNAI,100XIAV012,0.0640575980392157,0.01,0.054057598039215685,0.07405759803921569,0.8181818181818182,12,2,14,2444.7035583496095,0.008387323945240685,0.0024996043498139975,0.005887719595426688,0.005887719595426688,0.015472012237787592,0.006467148970930349,2820.6617568359375,40,281,1411,11.847113930615581,0.004908570594997235,0.0008180950991662059,0.005726665694163441,0.0040904754958310295,0.7142857142857143,1.6094379124341003,warning,moderate_exact_frame_continuity;elevated_exact_step_median,320.0,3.369386751113431,269,49.0,0.8387698760434816,0.0106851444113456,0.4086016151659105,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_noNAI,100XIAV024,0.04725085910652921,0.01254295532646048,0.03470790378006873,0.059793814432989686,0.7696078431372549,17,7,24,5145.862301757812,0.007838202843600471,0.0050757244284921,0.002762478415108371,0.002762478415108371,0.005851650586702786,0.0043134889710202155,5341.886246582031,97,437,2672,17.79865707356455,0.003303625126967126,0.0013603162287511696,0.0046639413557182955,0.0019433088982159566,0.4166666666666667,0.8472978603872037,pass,,175.0,4.713682329721368,105,45.0,0.8695672806474208,0.0066330591668877,0.3733149658419789,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_noNAI,100XIAV025,0.14494949494949494,0.025757575757575757,0.11919191919191918,0.17070707070707072,0.7166666666666666,9,4,13,1976.0680021972657,0.009107605060700383,0.004874504384379391,0.004233100676320993,0.004233100676320993,-0.007366600560563452,-0.002273241544983385,2239.7174606933595,33,102,1121,20.59877693062141,0.004554499131605064,0.002024221836268917,0.006578720967873981,0.0025302772953361466,0.38461538461538464,0.7472144018302211,pass,,48.0,10.752323989261525,35,55.0,0.9303180065073082,0.0097465886939571,0.5279332259036562,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_noNAI,100XIAV026,0.11574037503873387,0.01295365206023513,0.10278672297849875,0.12869402709896902,0.867816091954023,168,23,191,25076.801745605473,0.013004239246837801,0.003414811641506119,0.009589427605331682,0.009589427605331682,0.013091087993067923,0.008860981461736544,30474.565089111333,319,2105,15239,22.737905443848994,0.006699418917304348,0.0009171823517738095,0.007616601269078157,0.005782236565530539,0.7591623036649214,1.9699353286423031,warning,elevated_exact_step_median,297.0,3.5410763035272597,334,51.5,0.8509764744282782,0.0108514190317195,0.4399340219614133,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_noNAI,100XIAV027,0.0931547619047619,0.007954545454545454,0.08520021645021646,0.10110930735930736,0.8333333333333334,16,3,19,4284.856667480469,0.005946688056923527,0.0025761092795111985,0.0033705787774123285,0.0033705787774123285,0.008437447676411802,0.007271179259005149,4720.8474851074225,68,293,2363,18.998098707924406,0.0037340805636348466,0.0007001401056815338,0.00443422066931638,0.003033940457953313,0.6842105263157895,1.550597412411167,pass,,114.0,5.405883927026243,73,52.0,0.8993606168724617,0.0032082130253448,0.3999357891247263,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_noNAI,100XIAV028,0.14356257777310408,0.025552517657780816,0.11801006011532328,0.1691150954308849,0.7878787878787878,11,4,15,2468.5058986816407,0.019356058225464278,0.0027913581701198083,0.01656470005534447,0.016564700055344467,-0.023683909306668572,-0.014931314400589134,2990.557739746094,22,142,1496,15.945843070797697,0.004456136809668873,0.0016204133853341355,0.0060765501950030085,0.002835723424334737,0.4666666666666667,0.9382696385929302,warning,elevated_exact_step_median,21.0,18.254694531611054,26,133.5,0.9658901800411296,0.0054411193159735,0.5169500352189189,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_noNAI,100XIAV029,0.06124031007751938,0.007751937984496124,0.053488372093023255,0.06899224806201551,0.8333333333333334,8,2,10,2691.245455078125,0.0036467164656543583,0.0023548030263049473,0.001291913439349411,0.001291913439349411,0.006185473177334684,0.00215716646264858,2777.4873742675777,43,172,1393,13.584905186215153,0.00297260139720989,0.0007431503493024725,0.0037157517465123626,0.0022294510479074175,0.6,1.2237754316221157,pass,,52.5,9.665656460806176,46,58.0,0.9755149571441828,0.0121608980355472,0.5492619217632472,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_noNAI,100XIAV030,0.08648417977686271,0.0017421602787456446,0.08474201949811706,0.08822634005560835,0.9473684210526315,24,1,25,7610.579427734375,0.005793868997611502,0.00043618681567720994,0.005357682181934292,0.005357682181934292,0.005813882533781401,0.005660362608445763,8821.051630371094,82,507,4411,16.807690517551208,0.0031535049634380677,0.00013139604014325283,0.0032849010035813204,0.003022108923294815,0.92,2.793208009442517,pass,,60.0,5.788375064472769,90,54.0,0.8761132125044212,0.0046459468119192,0.3037530077631998,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-24,SBA_NAI,100XIAV030,0.048989898989898986,0.009486166007905137,0.03950373298199385,0.058476064997804125,0.8064516129032258,25,6,31,11115.612075195313,0.0045635775129922234,0.0015933071390480797,0.0029702703739441444,0.0029702703739441444,0.013749239663378432,0.003274048452131311,11707.479162597656,253,929,5855,10.643931240413686,0.0022490889238378467,0.0005397813417210832,0.00278887026555893,0.0017093075821167634,0.6129032258064516,1.366876275262789,pass,,1062.5,7.90840377480523,1463,47.0,0.926064303826064,0.0046897593892891,0.2358975690810286,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-24,SBA_NAI,100XIAV031,0.016899391335481562,0.007518796992481203,0.009380594343000358,0.024418188327962765,0.8571428571428571,7,1,8,8303.860295898437,0.005304264959205851,0.0037617325888613436,0.0015425323703445082,0.0015425323703445082,0.005958791830234524,0.0018799890661685681,8459.952474609374,133,583,4231,10.728025165769012,0.0008429814267778013,0.00012042591811111446,0.0009634073448889157,0.0007225555086666868,0.75,1.6094379124341003,pass,,634.5,9.78913296843156,967,56.0,0.9312032611291148,0.0030806370252936,0.1744645390490312,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
