series,time_s,msd_um2,lo_um2,hi_um2
polarized_experiment,1320.0,3.7473243860216283,1.9499262061614524,11.848886886021624
polarized_experiment,1350.0,3.7598418997228493,1.945428634416731,11.997498149722853
polarized_experiment,1380.0,3.7687241735537156,1.8838000941366282,11.934739798553714
polarized_experiment,1410.0,3.980990507889547,2.0278655078895476,12.912084734385711
polarized_experiment,1440.0,4.01388888888889,1.9788424012855854,12.504170292042524
polarized_experiment,1470.0,4.135065586419754,2.0647530864197536,13.352653396337114
polarized_experiment,1500.0,4.351358958487263,2.24804263195665,13.11225787824035
polarized_experiment,1530.0,4.348391685956788,2.2986390047437717,13.688346334482864
polarized_experiment,1560.0,4.460150775254456,2.328822650254452,13.889515444675943
polarized_experiment,1590.0,4.743248206666584,2.564713227936799,14.08320285519266
polarized_experiment,1620.0,4.730744446215987,2.479606722608026,14.329046915351796
polarized_experiment,1650.0,4.669523278061225,2.3667107780612255,14.320364829672002
polarized_experiment,1680.0,5.053512246311266,2.635227122344322,14.770526135200155
polarized_experiment,1710.0,5.048308924120617,2.7797416820981207,14.929552625304792
polarized_experiment,1740.0,5.03442494032118,2.6953650229658046,15.084825623276807
polarized_experiment,1770.0,5.0165074593339405,2.565046830316494,15.014957872557076
polarized_experiment,1800.0,5.275417751736109,2.744167751736109,15.103542751736109
polarized_experiment,1830.0,5.277993253687845,2.943892299427466,14.961530111182444
polarized_experiment,1860.0,5.555414379064009,3.0241643790640094,15.22143000406401
polarized_experiment,1890.0,5.78125,3.172583317032621,15.17578125
polarized_experiment,1920.0,5.829715487434647,3.1798579858402585,16.04837604026548
polarized_experiment,1950.0,5.7766685956790145,2.9325311989848006,15.542293595679014
polarized_experiment,1980.0,5.531924650025301,2.611924650025303,15.711426423751968
polarized_experiment,2010.0,5.780205078125,2.9946148003472235,15.878469329560259
polarized_experiment,2040.0,5.733591043477579,2.8583327790147735,15.963980074089825
polarized_experiment,2070.0,5.865364969871874,2.9718523564931894,16.130243442094088
polarized_experiment,2100.0,5.9347504473603205,3.0316254473603195,16.21611559758707
polarized_experiment,2130.0,5.906098325582686,3.0817998561949294,16.368771936693797
polarized_experiment,2160.0,5.9207070695925434,3.0152035973703253,16.18558554181476
polarized_experiment,2190.0,5.891734467455624,2.880345578566738,16.622790366896663
polarized_experiment,2220.0,5.989030612244899,3.190222148210286,16.600959282605
polarized_experiment,2250.0,5.768049364774744,2.8225023126205464,16.68593839538698
polarized_experiment,2280.0,5.699393446180555,2.6740494791666674,16.523982209689777
polarized_experiment,2310.0,5.803580246913581,2.7847814187885813,16.826908650548695
polarized_experiment,2340.0,5.7511061409858115,2.632384485657017,16.94305492570804
polarized_experiment,2370.0,5.719531250000001,2.703906250000001,16.78642511145405
polarized_experiment,2400.0,6.1006019305870485,2.899855823320614,17.512277277809275
polarized_experiment,2430.0,5.825472376510389,2.779016985320382,17.404348578433464
polarized_experiment,2460.0,5.876732433192017,2.861107433192017,17.55063868319202
polarized_experiment,2490.0,5.870790289256198,2.722376606978877,17.133055914256204
