architecture,K_C,K_D,n_binders,n_cleavers,simulated_range_mean,simulated_range_p25,simulated_range_p75,mean_field_range,persistence_length,effective_trail_width,detachment_area,n_trajectories,n_detached,n_at_observation_time,observation_time
mixed,10.0,100.0,16,4,27.705019656626813,12.264829657965905,36.38864743499407,17.977680663097953,2.2015736295949435,0.08693481174857313,0.1913933890394593,256,256,0,1000000.0
mixed,10.0,200.0,16,4,23.6410177715394,11.214888041951188,32.158720198001085,8.71876948205467,1.7037340542272617,0.22819836387371692,0.3887893236505956,256,249,7,1000000.0
polarized,0.1,10.0,4,16,236.0284363013833,138.25339171873657,290.9529938651277,356.69481299808467,9.81735315081149,0.010899945570061458,0.1070086149859166,64,64,0,1000000.0
polarized,0.1,50.0,4,16,188.09911665430928,101.98893355569987,260.9835699966704,296.7461993543016,11.69040312685448,0.029762142716895295,0.3479314462794821,64,64,0,1000000.0
polarized,1.0,10.0,4,16,216.0903423102671,83.0350574051545,283.4592997564997,256.6975048511002,13.88817262329637,0.07454815003914163,1.035337576490997,64,64,0,1000000.0
polarized,1.0,50.0,4,16,210.0927948307777,90.33425785680768,296.6943123703089,329.5094567744886,20.647180913350127,0.1572385628230793,3.246533053163288,64,64,0,1000000.0
polarized,1.0,100.0,4,16,377.1593124239482,152.82319466007283,502.0318342133849,611.4069177277286,37.69771143616306,0.27621734350257615,10.412761709023645,256,256,0,1000000.0
polarized,1.0,10.0,10,10,266.48117456007924,101.2758607376401,366.89026976996047,318.10086661913806,11.602721694559571,0.024689767335570285,0.2864684990980496,64,64,0,1000000.0
polarized,1.0,50.0,10,10,729.7271837507445,273.33322187448806,1063.959839293502,461.7811777419393,17.475518873647246,0.0405136624053735,0.7079972720056774,64,64,0,1000000.0
polarized,1.0,100.0,10,10,1040.386694513374,518.9727928014398,1421.597052747365,796.1718576316078,30.83636062728312,0.0754523580483171,2.326676122956794,256,225,31,1000000.0
polarized,1.0,10.0,16,4,368.1146929765438,166.86081361011753,512.6235087580212,326.22571786516653,8.69927038092677,0.008982289135335645,0.0781393618279457,64,64,0,1000000.0
polarized,1.0,50.0,16,4,775.4098840529394,421.7743611892092,1063.053585020926,534.0610529176913,13.257454146566634,0.011617668532362287,0.1540207078578031,64,52,12,1000000.0
polarized,10.0,10.0,4,16,253.3579778818807,99.31075345175928,325.28975226609816,146.22669103317324,16.108764953235227,0.4872336606311016,7.848732516410795,64,64,0,1000000.0
polarized,10.0,50.0,4,16,382.4154253407968,183.8814118670015,531.125539907953,181.36370320037952,21.670262171497857,0.8040603403843523,17.42419837783272,64,64,0,1000000.0
polarized,10.0,100.0,4,16,506.79033421700086,240.547095687176,694.9569563502223,369.12652610038367,37.8809487074407,0.959925073115929,36.36287245769077,256,256,0,1000000.0
polarized,10.0,10.0,10,10,286.6719456768915,115.31403181218344,309.4635160470998,151.52472947233505,12.829853914766865,0.20234999724232058,2.596120904272451,64,64,0,1000000.0
polarized,10.0,50.0,10,10,834.0278566798376,366.3916261622483,1195.8792657863162,222.6924493990517,19.15954637806955,0.31423558712548694,6.020611305170681,64,64,0,1000000.0
polarized,10.0,100.0,10,10,1125.7528444902096,527.8133527243427,1545.5702384944618,365.0037994945078,31.725635368547636,0.5335092603982683,16.92592026113899,256,239,17,1000000.0
