architecture,K_C,K_D,n_binders,n_trajectories,detached_fraction,median_path_in_persistence_lengths,recurrence_range_screen,finite_time_free_range,included_in_repeated_return_comparison
mixed,0.1,100.0,10,64,1.0,145.55137189689938,65.75953146197406,357.22027064973304,True
mixed,0.1,200.0,10,64,1.0,94.28465696798104,41.528057435422646,257.070881990593,True
mixed,0.1,1000.0,10,128,1.0,70.32953885442974,22.53045367410016,149.2911571632134,True
mixed,0.1,1.0,16,64,0.359375,2252.3036340591893,176.25603852096748,176.25603852096748,False
mixed,0.1,10.0,16,64,0.046875,13491.462405062426,360.83411338445467,418.2795325852686,False
mixed,0.1,50.0,16,64,0.796875,8051.743634794227,197.14779971812496,510.3503595671215,False
mixed,0.1,100.0,16,64,1.0,1565.115472799498,121.6654114909975,380.0058953287586,True
mixed,0.1,200.0,16,64,0.90625,477.3721767418954,69.6843885229294,259.9225452970933,True
mixed,0.1,1000.0,16,128,0.1640625,66.69053513771163,31.24316651299139,136.4826808029367,False
mixed,1.0,1.0,4,64,1.0,9.324606370203291,162.47318681427882,405.01894685969745,False
mixed,1.0,10.0,4,64,1.0,9.110417169602234,46.679869764649965,697.6152478843045,False
mixed,1.0,50.0,4,64,1.0,5.123707323309015,25.4150435108729,542.3050318672101,False
mixed,1.0,100.0,4,256,1.0,4.8537739228786805,18.816207018592376,431.7848272469429,False
mixed,1.0,200.0,4,256,1.0,3.633369317575842,14.958654941934835,350.11671829034066,False
mixed,1.0,1000.0,4,128,1.0,1.4924786551373614,10.14663286363436,224.1604673608663,False
mixed,1.0,1.0,10,64,1.0,59.35592447642085,346.19976720348933,346.19976720348933,False
mixed,1.0,10.0,10,64,1.0,48.011843224025625,72.26080193605152,649.4232173434789,True
mixed,1.0,50.0,10,64,1.0,38.825597032972986,40.32068042471457,641.5682303666382,True
mixed,1.0,100.0,10,256,1.0,47.61424020992922,28.490132614081404,512.4149864190243,True
mixed,1.0,200.0,10,256,1.0,45.836441886535034,21.25183209713149,406.53942801097054,True
mixed,1.0,1000.0,10,128,1.0,9.384025440417616,13.691197263357411,257.8876467323024,False
mixed,1.0,1.0,16,64,1.0,340.23462464547816,277.15085160194593,277.15085160194593,False
mixed,1.0,10.0,16,64,1.0,546.2999547217075,135.93777437886325,545.743012776435,True
mixed,1.0,50.0,16,64,1.0,225.18231648771769,67.5947156667701,625.8970736603051,True
mixed,1.0,100.0,16,256,1.0,137.12857774440394,45.861323706180904,501.4548006885355,True
mixed,1.0,200.0,16,256,0.9765625,90.05362075053152,31.514872729791712,384.269150995183,True
mixed,1.0,1000.0,16,128,0.1015625,39.44666400507794,18.577467065483557,234.81871909479787,False
mixed,10.0,1.0,4,64,1.0,4.11302053844657,83.53341793416813,641.3164074785889,False
mixed,10.0,10.0,4,64,1.0,4.003683921045773,21.843781011973142,1025.3361016690092,False
mixed,10.0,50.0,4,64,1.0,3.009826200536847,13.183947496638316,845.3050886394293,False
mixed,10.0,100.0,4,256,1.0,2.464079268200503,10.659844755101028,703.0851177098662,False
mixed,10.0,200.0,4,256,1.0,2.0249587900768686,8.89024032285368,578.3456999355132,False
mixed,10.0,1000.0,4,128,1.0,0.5252280874256824,5.944812295264499,338.8793565152662,False
mixed,10.0,1.0,10,64,1.0,51.483211597925326,573.1519197604896,573.1519197604896,False
mixed,10.0,10.0,10,64,1.0,25.353893719535694,35.5200629109521,996.4921156247592,False
mixed,10.0,50.0,10,64,1.0,9.41850492653978,19.560080245098508,972.702555516471,False
mixed,10.0,100.0,10,256,1.0,6.214448428850968,15.219727652796376,819.8754528749467,False
mixed,10.0,200.0,10,256,1.0,4.703859347493506,12.335412929487887,678.0400575226454,False
mixed,10.0,1000.0,10,128,1.0,3.4398571590476252,8.410864011022948,430.5128063433884,False
mixed,10.0,1.0,16,64,1.0,100.9282837441018,464.3978882724387,464.3978882724387,False
mixed,10.0,10.0,16,64,1.0,59.626221302562264,65.22028350750533,832.4870383291403,True
mixed,10.0,50.0,16,64,1.0,54.61942158195865,29.935158558527217,902.987934878994,True
mixed,10.0,100.0,16,256,1.0,48.62857081278219,22.33780436104706,766.0309222167647,True
