architecture,K_D,K_C,n_binders,n_cleavers,mean_attachments,attachment_probability,speed,orientational_persistence_time,active_diffusivity,mobile_fraction,local_depletion_probability,receptor_contrast,persistence_length,diffusivity_shift
polarized,162.99897520534324,10.0,4.0,16.0,0.1321330505039452,0.0330332626259863,0.0265806562197239,851.3190523655526,0.2021339825539683,1.0,0.9999999999999152,0.9999767483682674,22.62861906422997,0.2021339825539683
polarized,153.06431405563595,10.0,4.0,16.0,0.1404081259641376,0.0351020314910344,0.0282344989004062,793.9391537774279,0.2128018940687178,1.0,0.9999999999995832,0.9999565625262554,22.416474164318235,0.2128018940687178
polarized,143.73516279968806,10.0,4.0,16.0,0.1491814549579574,0.0372953637394893,0.0299832653736046,738.307041139473,0.2232786067627226,1.0,0.999999999997903,0.9999219657930956,22.136855941685635,0.2232786067627226
polarized,134.97461607898632,10.0,4.0,16.0,0.1584804711029189,0.0396201177757297,0.0318307522820092,684.7531532382084,0.2335158377160908,1.0,0.9999999999895632,0.9998648858991096,21.796207995050143,0.2335158377160908
polarized,126.74801788800204,10.0,4.0,16.0,0.1683337900421857,0.0420834475105464,0.03378049162396,633.5530148709743,0.243473781497269,1.0,0.9999999999491188,0.9997740415734232,21.401732312183604,0.243473781497269
polarized,119.02282447787157,10.0,4.0,16.0,0.1787712172567723,0.044692804314193,0.0358356215223784,584.9240587673602,0.253121181874419,1.0,0.9999999997596536,0.999634303645869,20.961117189320557,0.253121181874419
polarized,111.76847561598989,10.0,4.0,16.0,0.1898237492545176,0.0474559373136294,0.0379987350417165,539.0252015586965,0.2624349596568556,1.0,0.9999999989115286,0.9994261898818372,20.482275814836747,0.2624349596568556
polarized,104.95627369223337,10.0,4.0,16.0,0.2015235671238838,0.0503808917809709,0.0402717104429832,495.95884992369946,0.2713995317152896,1.0,0.9999999953174332,0.9991256072476162,19.973111195762193,0.2713995317152896
polarized,98.55927019356292,10.0,4.0,16.0,0.2139040213584937,0.0534760053396234,0.0426555289609484,455.7748832288431,0.2800059875996484,1.0,0.999999981014461,0.998703954338274,19.44131873124081,0.2800059875996484
polarized,92.55215909791352,10.0,4.0,16.0,0.2269996067775295,0.0567499016943823,0.0451500887592429,418.4760937986565,0.2882512971083867,1.0,0.9999999279105036,0.998128675328578,18.894232778630613,0.2882512971083867
polarized,86.9111767656428,10.0,4.0,16.0,0.240845926289656,0.060211481572414,0.0477540254372895,384.02455957315783,0.2961376999800249,1.0,0.9999997448812016,0.9973643138728192,18.338718586400496,0.2961376999800249
polarized,81.6140079325183,10.0,4.0,16.0,0.2554796421763287,0.0638699105440821,0.0504645500587814,352.34846410965156,0.3036723834403849,1.0,0.9999991613023012,0.996374054651322,17.78110670519628,0.3036723834403849
polarized,76.63969743235928,10.0,4.0,16.0,0.2709384135069843,0.067734603376746,0.0532773145674922,323.3489505252326,0.3108674885796744,1.0,0.999997443446831,0.9951216709512746,17.227163752201307,0.3108674885796744
polarized,71.96856730011521,10.0,4.0,16.0,0.2872608182469212,0.0718152045617303,0.0561863119793724,296.90668402547453,0.3177404178141971,1.0,0.9999927781088044,0.9935737318521218,16.68209157741628,0.3177404178141971
polarized,67.58213892744703,10.0,4.0,16.0,0.3044862585823671,0.0761215646455917,0.0591838150980197,272.88788930529216,0.3243143533110494,1.0,0.9999810830412664,0.9917018762214128,16.150546383133292,0.3243143533110494
polarized,63.46305996286578,10.0,4.0,16.0,0.3226548479704715,0.0806637119926178,0.0622603536293691,251.14971481461424,0.3306188543222761,1.0,0.9999539813347436,0.9894849433563836,15.636670058273102,0.3306188543222761
polarized,59.59503566725067,10.0,4.0,16.0,0.3418072784294242,0.085451819607356,0.0654047262449745,231.54484963698272,0.3366903858537526,1.0,0.9998957877778026,0.9869107656010332,15.144127503940656,0.3366903858537526
polarized,55.962764453195526,10.0,4.0,16.0,0.3619846666206391,0.0904961666551597,0.0686040421183369,213.92537764062823,0.3425726430886342,1.0,0.999779662121329,0.9839774724839958,14.6761456178388,0.3425726430886342
polarized,52.55187735318167,10.0,4.0,16.0,0.3832283773464283,0.095807094336607,0.0718437860288082,198.14589716194752,0.3483165690957426,1.0,0.9995635631418084,0.9806942183246996,14.235551438189203,0.3483165690957426
polarized,49.34888117711905,10.0,4.0,16.0,0.4055798231985154,0.1013949557996288,0.0751079024059076,184.06596394801625,0.3539800096526995,1.0,0.9991871359720764,0.977081312184599,13.824808456456914,0.3539800096526995
polarized,46.34110513439105,10.0,4.0,16.0,0.4290802392509611,0.1072700598127402,0.0783788958840089,171.55193252810423,0.359626994159879,1.0,0.998570939270324,0.9731697884532312,13.4460510583208,0.359626994159879
polarized,43.51665070924416,10.0,4.0,16.0,0.4537704319013952,0.1134426079753488,0.0816379488693895,160.47827908465507,0.3653266715514512,1.0,0.9976192521629932,0.9690004995987316,13.1011175425607,0.3653266715514512
polarized,40.86434459123405,10.0,4.0,16.0,0.4796905012323493,0.1199226253080873,0.0848650592674094,150.72848970953484,0.3711519560564335,1.0,0.9962270394066326,0.9646228369066032,12.791582212486794,0.3711519560564335
