architecture,K_D,K_C,n_binders,n_cleavers,mean_attachments,attachment_probability,speed,orientational_persistence_time,active_diffusivity,mobile_fraction,local_depletion_probability,receptor_contrast,persistence_length,diffusivity_shift
polarized,100.0,0.027351099530412,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0053466022309787,397.5347811032656,0.0045445831495188,1.0,0.0047309379432391,0.0866825138383933,2.125460347538355,0.0045445831495188
polarized,100.0,0.0295520923520288,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0055528083864113,397.5347811032656,0.0049018913163168,1.0,0.0051110844374942,0.0900177099631385,2.2074344664004033,0.0049018913163168
polarized,100.0,0.0319302030769102,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0057667660219514,397.5347811032656,0.0052869227547292,1.0,0.0055217279344916,0.0934776561257239,2.2924900682102063,0.0052869227547292
polarized,100.0,0.0344996847054971,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0059887497639193,397.5347811032656,0.00570178237007,1.0,0.0059653067796188,0.0970667232584839,2.3807363264819106,0.00570178237007
polarized,100.0,0.0372759372031493,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0062190425305293,397.5347811032656,0.0061487290669564,1.0,0.0064444528765998,0.100789410348446,2.472285711045898,0.0061487290669564
polarized,100.0,0.0402755997985029,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0064579356505088,397.5347811032656,0.0066301862700653,1.0,0.0069620068146285,0.1046503459106001,2.5672540352039928,0.0066301862700653
polarized,100.0,0.0435166507092441,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0067057289691747,397.5347811032656,0.0071487530649988,1.0,0.0075210341367318,0.1086542892300703,2.6657604978987055,0.0071487530649988
polarized,100.0,0.0470185148929985,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0069627309400591,397.5347811032656,0.0077072159820213,1.0,0.0081248428282246,0.1128061313402751,2.767927720137359,0.0077072159820213
polarized,100.0,0.0508021804691302,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0072292586987395,397.5347811032656,0.0083085614412119,1.0,0.0087770021082648,0.1171108957197666,2.8738817743422937,0.0083085614412119
polarized,100.0,0.0548903245092155,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0075056381218679,397.5347811032656,0.0089559888904837,1.0,0.0094813626115508,0.1215737385871619,2.9837522078171066,0.0089559888904837
polarized,100.0,0.0593074489501055,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0077922038569259,397.5347811032656,0.0096529246265635,1.0,0.0102420780510943,0.1261999489322465,3.0976720545750664,0.0096529246265635
polarized,100.0,0.06408002744416,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0080892993356116,397.5347811032656,0.0104030363484042,1.0,0.0110636284567832,0.1309949479962717,3.215777840661172,0.0104030363484042
polarized,100.0,0.0692366640267872,10.0,10.0,0.5274619862312134,0.0527461986231213,0.008397276754598,397.5347811032656,0.0112102484231017,1.0,0.0119508450877956,0.1359642883498781,3.338209576502691,0.0112102484231017
polarized,100.0,0.0748082645522508,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0087164970269636,397.5347811032656,0.0120787578848119,1.0,0.0129089371197558,0.1411136524096714,3.4651107376012744,0.0120787578848119
polarized,100.0,0.0808282219252271,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0090473296985353,397.5347811032656,0.0130130511614385,1.0,0.0139435202098886,0.1464488503620306,3.596628231276338,0.0130130511614385
polarized,100.0,0.0873326162382843,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0093901528252339,397.5347811032656,0.0140179215219681,1.0,0.0150606470447588,0.1519758174232349,3.732912347905592,0.0140179215219681
polarized,100.0,0.0943604310147889,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0097453528068618,397.5347811032656,0.0150984872284306,1.0,0.0162668399754326,0.1577006103625666,3.8741166948499233,0.0150984872284306
polarized,100.0,0.101953786853273,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0101133241723292,397.5347811032656,0.0162602103665928,1.0,0.0175691258438852,0.1636294032083943,4.020398111073268,0.0162602103665928
polarized,100.0,0.1101581938735899,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0104944693108333,397.5347811032656,0.0175089163178759,1.0,0.0189750731014275,0.1697684820499569,4.171916560277091,0.0175089163178759
polarized,100.0,0.1190228244778715,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0108891981429939,397.5347811032656,0.0188508138214191,1.0,0.0204928313148448,0.1761242388394986,4.328835000165174,0.0188508138214191
polarized,100.0,0.1286008080610566,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0112979277253546,397.5347811032656,0.0202925155592922,1.0,0.0221311731479563,0.182703164091127,4.491319225219391,0.0202925155592922
polarized,100.0,0.1389495494373137,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0117210817810612,397.5347811032656,0.0218410591795061,1.0,0.023899538894911,0.1895118383631742,4.659537680127655,0.0218410591795061
polarized,100.0,0.1501310728908173,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0121590901488337,397.5347811032656,0.0235039286501429,1.0,0.0258080836259842,0.1965569224009066,4.833661240731487,0.0235039286501429
polarized,100.0,0.1622123939129172,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0126123881416203,397.5347811032656,0.0252890758133898,1.0,0.0278677269858348,0.2038451458054577,5.0138629590684705,0.0252890758133898
polarized,100.0,0.1752659208536758,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0130814158055104,397.5347811032656,0.0272049419800503,1.0,0.0300902056572039,0.2113832940830595,5.200317768764386,0.0272049419800503
polarized,100.0,0.189369888895036,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0135666170689221,397.5347811032656,0.0292604793741461,1.0,0.0324881284684247,0.2191781939114038,5.393202146805791,0.0292604793741461
polarized,100.0,0.2046088289466012,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0140684387686717,397.5347811032656,0.0314651721897318,1.0,0.0350750340794227,0.2272366964811187,5.592693726368606,0.0314651721897318
polarized,100.0,0.2210740742743124,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0145873295470854,397.5347811032656,0.0338290570170892,1.0,0.0378654511259769,0.2355656586330603,5.798970858381821,0.0338290570170892
polarized,100.0,0.2388643078984598,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0151237385960239,397.5347811032656,0.0363627422736886,1.0,0.0408749606341432,0.2441719217404546,6.012212112233384,0.0363627422736886
polarized,100.0,0.2580861540418074,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0156781142439304,397.5347811032656,0.0390774263138526,1.0,0.0441202604328392,0.2530622879618768,6.232595714072895,0.0390774263138526
