architecture,K_D,K_C,n_binders,n_cleavers,mean_attachments,attachment_probability,probability_of_at_least_one_attachment,relative_mobility,attachment_lifetime,attachment_friction
polarized,10.909758222704642,10.0,4.0,16.0,1.351692890216807,0.3379232225542017,0.8078530830315751,0.373549665032484,0.1240681381716004,0.1677020202689887
polarized,10.24481691843409,10.0,4.0,16.0,1.4085314532104536,0.3521328633026134,0.8238251935606665,0.3495326571753596,0.132120798387109,0.1860963001515199
polarized,9.62040327106476,10.0,4.0,16.0,1.4664366361135526,0.3666091590283881,0.8390514323034312,0.3264539246200543,0.1406961176632116,0.2063219415002767
polarized,9.034047151333576,10.0,4.0,16.0,1.5253211728453206,0.3813302932113301,0.8535007487271304,0.3043807851731016,0.1498280192608322,0.2285358500640239
polarized,8.48342898244072,10.0,4.0,16.0,1.5850908907819794,0.3962727226954948,0.8671494999325776,0.2833620426562115,0.1595526282349864,0.2529054176156006
polarized,7.96637056399373,10.0,4.0,16.0,1.6456452197461022,0.4114113049365255,0.8799816461811545,0.2634289701783219,0.1699084143425416,0.2796089698574436
polarized,7.480826455225086,10.0,4.0,16.0,1.706877795734584,0.426719448933646,0.8919887895408531,0.2445967188167535,0.1809363442254252,0.3088362283997677
polarized,7.024875883396023,10.0,4.0,16.0,1.768677153103,0.4421692882757499,0.9031700553085482,0.2268660231368945,0.1926800434713058,0.3407887907465915
polarized,6.596715145376838,10.0,4.0,16.0,1.830927496676608,0.457731874169152,0.9135318214739346,0.2102250818676022,0.2051859691928461,0.3756806329274215
polarized,6.194650472344998,10.0,4.0,16.0,1.8935095431561857,0.4733773857890464,0.9230873068884528,0.1946515060313869,0.2185035938082368,0.4137386400898192
polarized,5.817091329374358,10.0,4.0,16.0,1.9563014193126704,0.4890753548281675,0.9318560336956636,0.1801142450604561,0.2326856007500318,0.4552031710009086
polarized,5.462544123409224,10.0,4.0,16.0,2.019179602894386,0.5047949007235963,0.9398631837036096,0.1665754213770482,0.2477880928764944,0.5003286629763172
polarized,5.129606294732514,10.0,4.0,16.0,2.082019890970006,0.5205049727425015,0.9471388715208188,0.153992023560932,0.2638708144099109,0.5493842842478894
polarized,4.816960768554367,10.0,4.0,16.0,2.1446983796505745,0.5361745949126436,0.95371735928837,0.1423174261417197,0.2809973872798413,0.6026546411851207
polarized,4.523370744772102,10.0,4.0,16.0,2.207092438808481,0.5517731097021202,0.9596362386502704,0.1315027193787426,0.2992355628062649,0.6604405480923077
polarized,4.247674805290287,10.0,4.0,16.0,2.269081665554522,0.5672704163886305,0.9649356052226534,0.1214978447465426,0.3186574897182534,0.7230598675113175
polarized,3.988782319545844,10.0,4.0,16.0,2.3305488008397424,0.5826372002099356,0.9696572493348476,0.1122525412142923,0.3393399995684364,0.7908484290711782
polarized,3.745669130062843,10.0,4.0,16.0,2.3913805945904496,0.5978451486476124,0.973843884373966,0.1037171140248594,0.3613649106723328,0.8641610349477279
polarized,3.517373500969382,10.0,4.0,16.0,2.451468606217956,0.612867151554489,0.9775384308719552,0.0958430419193918,0.3848193517749073,0.9433725599413292
polarized,3.302992313449222,10.0,4.0,16.0,2.5107099291087938,0.6276774822771984,0.9807833707644558,0.0885834410530128,0.4097961067247522,1.0288791540639624
