architecture,K_D,speed
mixed,1.128823796393017,0.041732884838927
mixed,1.1485348522174963,0.0420831220111986
mixed,1.1685900943737644,0.0424361130699687
mixed,1.1889955329016704,0.0427918739427738
mixed,1.2097572827859029,0.0431504204292363
mixed,1.2308815657884926,0.0435117681900139
mixed,1.2523747123133138,0.0438759327363929
mixed,1.2742431633031437,0.0442429294127438
mixed,1.2964934721698471,0.0446127733950582
mixed,1.3191323067582668,0.0449854796668532
mixed,1.342166451344402,0.0453610630111142
mixed,1.3656028086684835,0.0457395379951154
mixed,1.3894484020035474,0.0461209189552749
mixed,1.4137103772601272,0.0465052199826431
mixed,1.4383960051277016,0.0468924549061091
mixed,1.4635126832535312,0.0472826372762133
mixed,1.4890679384595449,0.0476757803477792
mixed,1.5150694289979314,0.0480718970619512
mixed,1.5415249468461245,0.0484710000275127
mixed,1.5684424200418552,0.0488731015014653
mixed,1.595829915058981,0.0492782133688548
mixed,1.6236956392248016,0.0496863471218294
mixed,1.6520479431795825,0.0500975138378061
mixed,1.6808953233790265,0.0505117241569249
mixed,1.7102464246404454,0.0509289882585493
mixed,1.740110042733386,0.0513493158380128
mixed,1.7704951270154978,0.0517727160758314
mixed,1.8014107831144248,0.0521991976225197
mixed,1.8328662756565268,0.0526287685603701
mixed,1.8648710310432512,0.0530614363807933
mixed,1.8974346402759803,0.0534972079541374
mixed,1.9305668618302112,0.0539360894987303
mixed,1.964277624579916,0.054378086550929
mixed,1.998577030772971,0.0548232039312591
mixed,2.033475359058543,0.0552714457115229
mixed,2.06898306756733,0.0557228151798777
mixed,2.1051107970456027,0.0561773148048703
mixed,2.1418693740439507,0.0566349461982368
mixed,2.1792698141617324,0.0570957100764385
mixed,2.217323325348158,0.0575596062209317
mixed,2.2560413112610287,0.058026633437092
mixed,2.295435374684118,0.0584967895118199
mixed,2.3355173210042244,0.0589700711697643
mixed,2.376299161748947,0.0594464740281448
mixed,2.4177931181862276,0.0599259925501709
mixed,2.4600116249867514,0.0604086199969777
mixed,2.5029673339502967,0.0608943483781167
mixed,2.546673117797155,0.0613831684005354
mixed,2.591142074025753,0.0618750694160358
