architecture,K_D,K_C,n_binders,n_cleavers,receptor_contrast,locally_depleted_fraction,mobile_fraction,diffusivity_shift
mixed,100.0,0.0344996847054971,10.0,10.0,0.0058845597960234,5.3293813806476464e-11,0.9999999999467062,0.0011139738154108
mixed,100.0,0.0372759372031493,10.0,10.0,0.0061168331917457,1.2657319636844022e-10,0.9999999998734268,0.0012015229097373
mixed,100.0,0.0402755997985029,10.0,10.0,0.0063582782885196,2.9179236804566244e-10,0.9999999997082076,0.0012958683366076
mixed,100.0,0.0435166507092441,10.0,10.0,0.0066092575310362,6.536813312862931e-10,0.9999999993463188,0.0013975277977235
mixed,100.0,0.0470185148929985,10.0,10.0,0.0068701477104652,1.4245959967240651e-09,0.999999998575404,0.0015070572827037
mixed,100.0,0.0508021804691302,10.0,10.0,0.007141340534277,3.0234772463444415e-09,0.9999999969765228,0.0016250537672081
mixed,100.0,0.0548903245092155,10.0,10.0,0.0074232432188732,6.255321927106649e-09,0.999999993744678,0.0017521580838388
mixed,100.0,0.0593074489501055,10.0,10.0,0.0077162791059496,1.2628228240885164e-08,0.9999999873717718,0.0018890579732505
mixed,100.0,0.06408002744416,10.0,10.0,0.0080208883035263,2.4899515560505847e-08,0.9999999751004844,0.002036491321777
mixed,100.0,0.0692366640267872,10.0,10.0,0.008337528352708,4.79938495612231e-08,0.9999999520061504,0.0021952495898918
mixed,100.0,0.0748082645522508,10.0,10.0,0.0086666749211689,9.051116478531185e-08,0.9999999094888352,0.0023661814328111
mixed,100.0,0.0808282219252271,10.0,10.0,0.0090088225244786,1.6714831585495918e-07,0.999999832851684,0.002550196509904
mixed,100.0,0.0873326162382843,10.0,10.0,0.0093644852764279,3.025051772409526e-07,0.9999996974948228,0.0027482694728878
mixed,100.0,0.0943604310147889,10.0,10.0,0.0097341976694984,5.36944037010656e-07,0.999999463055963,0.0029614441134134
mixed,100.0,0.101953786853273,10.0,10.0,0.0101185153867605,9.3543229762183e-07,0.9999990645677024,0.0031908376376749
mixed,100.0,0.1101581938735899,10.0,10.0,0.0105180161464464,1.6006348988462094e-06,0.9999983993651012,0.0034376450183659
mixed,100.0,0.1190228244778715,10.0,10.0,0.0109333005806008,2.691946543342816e-06,0.9999973080534568,0.0037031433513718
mixed,100.0,0.1286008080610566,10.0,10.0,0.0113649931491736,4.452675713251253e-06,0.9999955473242867,0.0039886961150125
mixed,100.0,0.1389495494373137,10.0,10.0,0.0118137430910533,7.248221541078515e-06,0.9999927517784588,0.0042957571918207
mixed,100.0,0.1501310728908173,10.0,10.0,0.0122802254135405,1.1618826687764816e-05,0.9999883811733122,0.0046258744653551
mixed,100.0,0.1622123939129172,10.0,10.0,0.0127651419219032,1.8351346032785543e-05,0.9999816486539672,0.0049806927454417
mixed,100.0,0.1752659208536758,10.0,10.0,0.0132692222906419,2.8575438345668225e-05,0.9999714245616544,0.0053619557027146
mixed,100.0,0.189369888895036,10.0,10.0,0.0137932251782436,4.389065563059624e-05,0.9999561093443694,0.005771506404917
mixed,100.0,0.2046088289466012,10.0,10.0,0.0143379393872454,6.653205386941696e-05,0.9999334679461306,0.0062112859408233
mixed,100.0,0.2210740742743124,10.0,10.0,0.0149041850714878,9.95831508761036e-05,0.999900416849124,0.0066833294900527
mixed,100.0,0.2388643078984598,10.0,10.0,0.0154928149940103,0.0001472462708838,0.9998527537291162,0.0071897590441875
mixed,100.0,0.2580861540418074,10.0,10.0,0.0161047158291021,0.0002151814853617,0.9997848185146384,0.0077327718151434
mixed,100.0,0.278854817172629,10.0,10.0,0.0167408095324435,0.0003109264034654,0.9996890735965346,0.0083146231320755
