architecture,K_D,directional_persistence_time
polarized,58.44336852632634,200.06611566561577
polarized,59.46388253681586,204.0660962507358
polarized,60.50221634229438,208.19442641476604
polarized,61.558681104676566,212.45401863931053
polarized,62.6335934192582,216.8478203889945
polarized,63.72727540959154,221.37881147262456
polarized,64.84005482401761,226.05000114811236
polarized,65.97226513388385,230.86442496152753
polarized,67.1242456334769,235.82514131079475
polarized,68.29634154170037,240.93522772480244
polarized,69.48890410552808,246.19777684900325
polarized,70.70229070526372,251.6158921289945
polarized,71.93686496163848,257.1926831840686
polarized,73.19299684477892,262.93126086332643
polarized,74.47106278507745,268.8347319776534
polarized,75.7714457859988,274.90619370168105
polarized,77.09453553885633,281.14872764080377
polarized,78.44072853959251,287.5653935593832
polarized,79.81042820759852,294.1592227674798
polarized,81.20404500660855,300.9332111647803
polarized,82.62199656770545,307.89031194187436
polarized,84.06470781447385,315.03342794064645
polarized,85.53261109033883,322.36540367732096
polarized,87.02614628812817,329.88901703361034
polarized,88.54576098189689,337.6069706234748
polarized,90.0919105610537,345.521882845212
polarized,91.66505836682929,353.6362786309375
polarized,93.26567583112808,361.9525799080117
polarized,94.89424261780408,370.47309578957527
polarized,96.55124676640374,379.2000125140988
polarized,98.23718483841893,388.135383156699
polarized,99.95256206609352,397.2811171379191
polarized,101.69789250382873,406.6389695586951
polarized,103.47369918223166,416.2105303933154
polarized,105.2805142648544,425.99721357531655
polarized,107.11887920766968,436.00024601438946
polarized,108.98934492133094,446.22065658552026
polarized,110.89247193626662,456.6592651346796
polarized,112.8288305706564,467.31667154839215
polarized,114.79900110134092,478.19324493745614
polarized,116.80357393771584,489.28911298784953
polarized,118.8431497986622,500.6041515344706
polarized,120.91833989256664,512.1379744157374
polarized,123.02976610048472,523.8899236692081
polarized,125.17806116250252,535.8590601301986
polarized,127.3638688673528,548.0441544968646
polarized,129.58784424534176,560.4436789263207
polarized,131.85065376464476,573.0557992270399
polarized,134.1529755310298,585.8783677130052
polarized,136.49549949106836,598.9089167847961
polarized,138.8789276388941,612.1446533019849
polarized,141.30397422657344,625.5824538098661
polarized,143.77136597814763,639.2188606815448
polarized,146.2818423074137,653.0500792339008
polarized,148.83615553950762,667.0719758727325
polarized,151.43507113635664,681.2800773186048
polarized,154.0793679260688,695.6695709604875
polarized,156.76983833632747,710.2353063792435
polarized,159.50728863186157,724.9717980773838
polarized,162.29253915606236,739.8732294452908
polarized,165.12642457681932,754.9334579873788
polarized,168.00979413664845,770.146021824396
polarized,170.94351190718862,785.504147480403
polarized,173.92845704814155,801.0007589548734
polarized,176.9655240707328,816.6284880719801
polarized,180.0556231057748,832.379686090515
polarized,183.1996801764088,848.2464365490616
polarized,186.39863747561049,864.2205693122179
polarized,189.65345364854085,880.2936757748053
polarized,192.96510407982765,896.4571251722683
polarized,196.3345811858628,912.7020819369648
polarized,199.76289471220431,929.0195240318212
